Wavelength_01 quinine_0.2mM_PL Wavelength_02 quinine_0.2mM_Abs
3.17323e+02 1.41000e+00 3.17323e+02 1.70000e-01
3.18115e+02 1.40333e+00 3.18115e+02 1.70000e-01
3.18907e+02 1.61333e+00 3.18907e+02 1.70000e-01
3.19698e+02 1.68889e+00 3.19698e+02 1.70000e-01
3.20490e+02 1.62667e+00 3.20490e+02 1.70000e-01
3.21282e+02 1.73778e+00 3.21282e+02 1.70000e-01
3.22074e+02 2.05889e+00 3.22074e+02 1.68889e-01
3.22865e+02 1.98667e+00 3.22865e+02 1.66667e-01
3.23657e+02 2.06556e+00 3.23657e+02 1.66667e-01
3.24448e+02 1.99667e+00 3.24448e+02 1.68889e-01
3.25240e+02 2.09222e+00 3.25240e+02 1.70000e-01
3.26031e+02 2.34556e+00 3.26031e+02 1.70000e-01
3.26823e+02 2.37444e+00 3.26823e+02 1.70000e-01
3.27614e+02 2.28889e+00 3.27614e+02 1.70000e-01
3.28405e+02 2.49222e+00 3.28405e+02 1.70000e-01
3.29196e+02 2.61000e+00 3.29196e+02 1.74444e-01
3.29987e+02 2.54333e+00 3.29987e+02 1.80000e-01
3.30778e+02 2.63111e+00 3.30778e+02 1.80000e-01
3.31569e+02 2.42111e+00 3.31569e+02 1.80000e-01
3.32360e+02 2.45556e+00 3.32360e+02 1.87778e-01
3.33150e+02 2.48778e+00 3.33150e+02 1.90000e-01
3.33941e+02 2.44000e+00 3.33941e+02 1.90000e-01
3.34731e+02 2.43000e+00 3.34731e+02 1.91111e-01
3.35522e+02 2.61778e+00 3.35522e+02 2.00000e-01
3.36312e+02 2.63222e+00 3.36312e+02 2.00000e-01
3.37103e+02 2.78222e+00 3.37103e+02 2.00000e-01
3.37893e+02 2.92667e+00 3.37893e+02 2.08889e-01
3.38683e+02 3.19222e+00 3.38683e+02 2.10000e-01
3.39473e+02 3.36556e+00 3.39473e+02 2.10000e-01
3.40264e+02 3.61222e+00 3.40264e+02 2.17778e-01
3.41054e+02 3.74778e+00 3.41054e+02 2.20000e-01
3.41844e+02 3.91889e+00 3.41844e+02 2.20000e-01
3.42633e+02 4.38556e+00 3.42633e+02 2.20000e-01
3.43423e+02 4.88000e+00 3.43423e+02 2.25556e-01
3.44213e+02 4.91000e+00 3.44213e+02 2.30000e-01
3.45003e+02 5.14778e+00 3.45003e+02 2.30000e-01
3.45792e+02 5.30111e+00 3.45792e+02 2.30000e-01
3.46582e+02 5.66222e+00 3.46582e+02 2.30000e-01
3.47371e+02 5.90222e+00 3.47371e+02 2.30000e-01
3.48161e+02 6.18000e+00 3.48161e+02 2.30000e-01
3.48950e+02 6.41556e+00 3.48950e+02 2.30000e-01
3.49739e+02 7.17444e+00 3.49739e+02 2.30000e-01
3.50528e+02 7.65333e+00 3.50528e+02 2.30000e-01
3.51317e+02 8.28778e+00 3.51317e+02 2.23333e-01
3.52106e+02 9.58778e+00 3.52106e+02 2.20000e-01
3.52895e+02 1.15078e+01 3.52895e+02 2.20000e-01
3.53684e+02 1.41611e+01 3.53684e+02 2.20000e-01
3.54473e+02 1.80289e+01 3.54473e+02 2.10000e-01
3.55262e+02 2.33222e+01 3.55262e+02 2.10000e-01
3.56051e+02 3.10411e+01 3.56051e+02 2.08889e-01
3.56839e+02 4.17522e+01 3.56839e+02 2.00000e-01
3.57628e+02 5.57667e+01 3.57628e+02 2.00000e-01
3.58416e+02 7.46467e+01 3.58416e+02 1.90000e-01
3.59205e+02 9.96189e+01 3.59205e+02 1.90000e-01
3.59993e+02 1.30989e+02 3.59993e+02 1.82222e-01
3.60781e+02 1.68513e+02 3.60781e+02 1.80000e-01
3.61569e+02 2.09623e+02 3.61569e+02 1.72222e-01
3.62357e+02 2.50832e+02 3.62357e+02 1.70000e-01
3.63145e+02 2.87939e+02 3.63145e+02 1.60000e-01
3.63933e+02 3.17871e+02 3.63933e+02 1.60000e-01
3.64721e+02 3.37801e+02 3.64721e+02 1.50000e-01
3.65509e+02 3.46148e+02 3.65509e+02 1.48889e-01
3.66297e+02 3.42712e+02 3.66297e+02 1.40000e-01
3.67085e+02 3.29361e+02 3.67085e+02 1.31111e-01
3.67872e+02 3.08650e+02 3.67872e+02 1.30000e-01
3.68660e+02 2.84641e+02 3.68660e+02 1.20000e-01
3.69447e+02 2.58960e+02 3.69447e+02 1.16667e-01
3.70235e+02 2.32769e+02 3.70235e+02 1.10000e-01
3.71022e+02 2.08051e+02 3.71022e+02 1.00000e-01
3.71809e+02 1.84606e+02 3.71809e+02 1.00000e-01
3.72596e+02 1.63191e+02 3.72596e+02 9.00000e-02
3.73383e+02 1.43923e+02 3.73383e+02 9.00000e-02
3.74170e+02 1.26642e+02 3.74170e+02 8.00000e-02
3.74957e+02 1.11422e+02 3.74957e+02 8.00000e-02
3.75744e+02 9.89522e+01 3.75744e+02 7.00000e-02
3.76531e+02 8.82811e+01 3.76531e+02 7.00000e-02
3.77318e+02 7.99289e+01 3.77318e+02 6.33333e-02
3.78105e+02 7.32011e+01 3.78105e+02 6.00000e-02
3.78891e+02 6.77000e+01 3.78891e+02 6.00000e-02
3.79678e+02 6.35756e+01 3.79678e+02 5.22222e-02
3.80464e+02 6.03944e+01 3.80464e+02 5.00000e-02
3.81251e+02 5.75478e+01 3.81251e+02 5.00000e-02
3.82037e+02 5.50756e+01 3.82037e+02 4.66667e-02
3.82823e+02 5.33700e+01 3.82823e+02 4.00000e-02
3.83609e+02 5.18989e+01 3.83609e+02 4.00000e-02
3.84395e+02 5.09356e+01 3.84395e+02 4.00000e-02
3.85181e+02 5.05822e+01 3.85181e+02 3.88889e-02
3.85967e+02 5.07622e+01 3.85967e+02 3.00000e-02
3.86753e+02 5.18433e+01 3.86753e+02 3.00000e-02
3.87539e+02 5.37600e+01 3.87539e+02 3.00000e-02
3.88325e+02 5.56800e+01 3.88325e+02 3.00000e-02
3.89110e+02 5.87789e+01 3.89110e+02 3.00000e-02
3.89896e+02 6.25444e+01 3.89896e+02 3.00000e-02
3.90682e+02 6.65289e+01 3.90682e+02 2.55556e-02
3.91467e+02 7.13456e+01 3.91467e+02 2.33333e-02
3.92252e+02 7.66044e+01 3.92252e+02 2.00000e-02
3.93038e+02 8.25389e+01 3.93038e+02 2.00000e-02
3.93823e+02 8.90467e+01 3.93823e+02 2.00000e-02
3.94608e+02 9.61056e+01 3.94608e+02 2.00000e-02
3.95393e+02 1.03727e+02 3.95393e+02 2.00000e-02
3.96178e+02 1.12206e+02 3.96178e+02 2.00000e-02
3.96963e+02 1.20891e+02 3.96963e+02 2.00000e-02
3.97748e+02 1.30400e+02 3.97748e+02 2.00000e-02
3.98533e+02 1.40422e+02 3.98533e+02 2.00000e-02
3.99318e+02 1.51514e+02 3.99318e+02 2.00000e-02
4.00102e+02 1.62791e+02 4.00102e+02 2.00000e-02
4.00887e+02 1.75191e+02 4.00887e+02 2.00000e-02
4.01671e+02 1.88039e+02 4.01671e+02 2.00000e-02
4.02456e+02 2.01829e+02 4.02456e+02 2.00000e-02
4.03240e+02 2.15783e+02 4.03240e+02 2.00000e-02
4.04025e+02 2.30393e+02 4.04025e+02 2.00000e-02
4.04809e+02 2.45890e+02 4.04809e+02 2.00000e-02
4.05593e+02 2.62322e+02 4.05593e+02 2.00000e-02
4.06377e+02 2.78844e+02 4.06377e+02 2.00000e-02
4.07161e+02 2.96064e+02 4.07161e+02 2.00000e-02
4.07945e+02 3.13796e+02 4.07945e+02 2.00000e-02
4.08729e+02 3.32342e+02 4.08729e+02 2.00000e-02
4.09513e+02 3.51702e+02 4.09513e+02 2.00000e-02
4.10296e+02 3.71159e+02 4.10296e+02 2.00000e-02
4.11080e+02 3.90892e+02 4.11080e+02 2.00000e-02
4.11863e+02 4.11788e+02 4.11863e+02 2.00000e-02
4.12647e+02 4.33050e+02 4.12647e+02 2.00000e-02
4.13430e+02 4.54671e+02 4.13430e+02 2.00000e-02
4.14214e+02 4.76671e+02 4.14214e+02 2.00000e-02
4.14997e+02 4.98736e+02 4.14997e+02 2.00000e-02
4.15780e+02 5.21250e+02 4.15780e+02 2.00000e-02
4.16563e+02 5.44538e+02 4.16563e+02 2.00000e-02
4.17346e+02 5.67267e+02 4.17346e+02 2.00000e-02
4.18129e+02 5.90836e+02 4.18129e+02 2.00000e-02
4.18912e+02 6.14310e+02 4.18912e+02 2.00000e-02
4.19695e+02 6.38252e+02 4.19695e+02 2.00000e-02
4.20478e+02 6.62127e+02 4.20478e+02 2.00000e-02
4.21261e+02 6.86032e+02 4.21261e+02 2.00000e-02
4.22043e+02 7.10061e+02 4.22043e+02 2.00000e-02
4.22826e+02 7.34428e+02 4.22826e+02 2.00000e-02
4.23608e+02 7.58890e+02 4.23608e+02 2.00000e-02
4.24391e+02 7.83491e+02 4.24391e+02 2.00000e-02
4.25173e+02 8.08203e+02 4.25173e+02 2.00000e-02
4.25955e+02 8.33070e+02 4.25955e+02 2.00000e-02
4.26737e+02 8.58117e+02 4.26737e+02 2.00000e-02
4.27520e+02 8.82214e+02 4.27520e+02 2.00000e-02
4.28302e+02 9.06542e+02 4.28302e+02 2.00000e-02
4.29084e+02 9.30414e+02 4.29084e+02 2.00000e-02
4.29865e+02 9.54502e+02 4.29865e+02 2.00000e-02
4.30647e+02 9.77821e+02 4.30647e+02 2.00000e-02
4.31429e+02 1.00085e+03 4.31429e+02 2.00000e-02
4.32211e+02 1.02337e+03 4.32211e+02 2.00000e-02
4.32992e+02 1.04618e+03 4.32992e+02 2.00000e-02
4.33774e+02 1.06823e+03 4.33774e+02 2.00000e-02
4.34555e+02 1.08990e+03 4.34555e+02 2.00000e-02
4.35337e+02 1.11129e+03 4.35337e+02 2.00000e-02
4.36118e+02 1.13238e+03 4.36118e+02 2.00000e-02
4.36899e+02 1.15357e+03 4.36899e+02 2.00000e-02
4.37680e+02 1.17395e+03 4.37680e+02 2.00000e-02
