Wavelength_01 quinine_0.1mM_PL Wavelength_02 quinine_0.1mM_Abs
3.41844e+02 4.12222e-01 3.41844e+02 4.60000e-01
3.42633e+02 3.83333e-01 3.42633e+02 4.60000e-01
3.43423e+02 4.11111e-01 3.43423e+02 4.70000e-01
3.44213e+02 4.41111e-01 3.44213e+02 4.70000e-01
3.45003e+02 2.47778e-01 3.45003e+02 4.70000e-01
3.45792e+02 2.30000e-01 3.45792e+02 4.70000e-01
3.46582e+02 1.42222e-01 3.46582e+02 4.70000e-01
3.47371e+02 2.24444e-01 3.47371e+02 4.70000e-01
3.48161e+02 3.81111e-01 3.48161e+02 4.70000e-01
3.48950e+02 4.53333e-01 3.48950e+02 4.60000e-01
3.49739e+02 4.72222e-01 3.49739e+02 4.60000e-01
3.50528e+02 6.16667e-01 3.50528e+02 4.60000e-01
3.51317e+02 7.07778e-01 3.51317e+02 4.50000e-01
3.52106e+02 8.03333e-01 3.52106e+02 4.50000e-01
3.52895e+02 8.78889e-01 3.52895e+02 4.40000e-01
3.53684e+02 8.24444e-01 3.53684e+02 4.40000e-01
3.54473e+02 8.47778e-01 3.54473e+02 4.30000e-01
3.55262e+02 8.54444e-01 3.55262e+02 4.20000e-01
3.56051e+02 8.82222e-01 3.56051e+02 4.10000e-01
3.56839e+02 7.30000e-01 3.56839e+02 4.04444e-01
3.57628e+02 6.78889e-01 3.57628e+02 4.00000e-01
3.58416e+02 6.36667e-01 3.58416e+02 3.90000e-01
3.59205e+02 7.88889e-01 3.59205e+02 3.80000e-01
3.59993e+02 9.00000e-01 3.59993e+02 3.70000e-01
3.60781e+02 9.93333e-01 3.60781e+02 3.54444e-01
3.61569e+02 1.08778e+00 3.61569e+02 3.40000e-01
3.62357e+02 1.36778e+00 3.62357e+02 3.30000e-01
3.63145e+02 1.80556e+00 3.63145e+02 3.20000e-01
3.63933e+02 1.89333e+00 3.63933e+02 3.10000e-01
3.64721e+02 1.87333e+00 3.64721e+02 2.90000e-01
3.65509e+02 1.89444e+00 3.65509e+02 2.80000e-01
3.66297e+02 2.02667e+00 3.66297e+02 2.70000e-01
3.67085e+02 2.10889e+00 3.67085e+02 2.60000e-01
3.67872e+02 2.17333e+00 3.67872e+02 2.44444e-01
3.68660e+02 1.99222e+00 3.68660e+02 2.30000e-01
3.69447e+02 2.04778e+00 3.69447e+02 2.20000e-01
3.70235e+02 2.22444e+00 3.70235e+02 2.10000e-01
3.71022e+02 2.41889e+00 3.71022e+02 1.95556e-01
3.71809e+02 2.45333e+00 3.71809e+02 1.80000e-01
3.72596e+02 2.71667e+00 3.72596e+02 1.70000e-01
3.73383e+02 2.92333e+00 3.73383e+02 1.60000e-01
3.74170e+02 2.92556e+00 3.74170e+02 1.50000e-01
3.74957e+02 3.08667e+00 3.74957e+02 1.40000e-01
3.75744e+02 3.41667e+00 3.75744e+02 1.30000e-01
