Wavelength_01 CsPbBr3_PL Wavelength_02 CsPbBr3_Abs Wavelength_03 CsPbI3_PL Wavelength_04 CsPbI3_Abs
2.51342e+02 -1.71111e-01 2.51342e+02 1.37778e-01 2.51342e+02 -9.85556e-01 2.51342e+02 2.00000e-01
2.52140e+02 -1.26667e-01 2.52140e+02 1.40000e-01 2.52140e+02 -9.51111e-01 2.52140e+02 2.10000e-01
2.52938e+02 4.88889e-02 2.52938e+02 1.50000e-01 2.52938e+02 -8.15556e-01 2.52938e+02 2.20000e-01
2.53735e+02 -2.04444e-01 2.53735e+02 1.60000e-01 2.53735e+02 -1.15222e+00 2.53735e+02 2.30000e-01
2.54533e+02 -1.66667e-01 2.54533e+02 1.70000e-01 2.54533e+02 -1.09111e+00 2.54533e+02 2.40000e-01
2.55330e+02 -3.33333e-01 2.55330e+02 1.90000e-01 2.55330e+02 -1.18778e+00 2.55330e+02 2.58889e-01
2.56128e+02 -1.41111e-01 2.56128e+02 2.00000e-01 2.56128e+02 -9.36667e-01 2.56128e+02 2.74444e-01
2.56925e+02 -9.88889e-02 2.56925e+02 2.20000e-01 2.56925e+02 -7.95556e-01 2.56925e+02 2.98889e-01
2.57722e+02 -3.11111e-02 2.57722e+02 2.40000e-01 2.57722e+02 -7.75556e-01 2.57722e+02 3.20000e-01
2.58520e+02 1.34444e-01 2.58520e+02 2.60000e-01 2.58520e+02 -5.94444e-01 2.58520e+02 3.43333e-01
2.59317e+02 3.46667e-01 2.59317e+02 2.81111e-01 2.59317e+02 -3.22222e-01 2.59317e+02 3.70000e-01
2.60114e+02 5.40000e-01 2.60114e+02 3.07778e-01 2.60114e+02 -1.23333e-01 2.60114e+02 4.00000e-01
2.60911e+02 5.04444e-01 2.60911e+02 3.30000e-01 2.60911e+02 -3.88889e-02 2.60911e+02 4.28889e-01
2.61708e+02 6.73333e-01 2.61708e+02 3.51111e-01 2.61708e+02 2.77778e-02 2.61708e+02 4.53333e-01
2.62505e+02 7.27778e-01 2.62505e+02 3.78889e-01 2.62505e+02 -6.66667e-03 2.62505e+02 4.81111e-01
2.63301e+02 1.03556e+00 2.63301e+02 4.00000e-01 2.63301e+02 3.07778e-01 2.63301e+02 5.10000e-01
2.64098e+02 9.10000e-01 2.64098e+02 4.21111e-01 2.64098e+02 2.06667e-01 2.64098e+02 5.37778e-01
