x_CsPbBr_dilute_00 CsPbBr_dilute_00_mean x_CsPbBr_dilute_02 CsPbBr_dilute_02_mean x_CsPbBr_dilute_04 CsPbBr_dilute_04_mean x_CsPbBr_dilute_08 CsPbBr_dilute_08_mean x_CsPbBr_dilute_16 CsPbBr_dilute_16_mean
2.44958e+02 -1.92222e-01 2.44958e+02 -1.04444e-01 2.44958e+02 1.17778e-01 2.44958e+02 2.10000e-01 2.44958e+02 -3.33333e-03
2.45756e+02 -2.77778e-01 2.45756e+02 -2.30000e-01 2.45756e+02 6.22222e-02 2.45756e+02 7.33333e-02 2.45756e+02 -1.00000e-01
2.46555e+02 -2.50000e-01 2.46555e+02 -1.76667e-01 2.46555e+02 9.55556e-02 2.46555e+02 3.55556e-02 2.46555e+02 -8.00000e-02
2.47353e+02 -2.11111e-01 2.47353e+02 -1.55556e-01 2.47353e+02 1.22222e-01 2.47353e+02 1.26667e-01 2.47353e+02 -3.22222e-02
2.48151e+02 -2.44444e-01 2.48151e+02 -7.44444e-02 2.48151e+02 1.15556e-01 2.48151e+02 1.74444e-01 2.48151e+02 -1.00000e-02
2.48949e+02 -2.37778e-01 2.48949e+02 -8.44444e-02 2.48949e+02 1.30000e-01 2.48949e+02 1.17778e-01 2.48949e+02 -1.55556e-02
2.49747e+02 -1.24444e-01 2.49747e+02 9.66667e-02 2.49747e+02 2.60000e-01 2.49747e+02 2.62222e-01 2.49747e+02 1.10000e-01
2.50545e+02 -1.32222e-01 2.50545e+02 8.00000e-02 2.50545e+02 2.74444e-01 2.50545e+02 1.40000e-01 2.50545e+02 -4.44444e-03
2.51342e+02 -3.20000e-01 2.51342e+02 -1.88889e-02 2.51342e+02 7.77778e-03 2.51342e+02 -4.77778e-02 2.51342e+02 -1.81111e-01
2.52140e+02 -1.77778e-01 2.52140e+02 1.50000e-01 2.52140e+02 1.80000e-01 2.52140e+02 1.23333e-01 2.52140e+02 -1.11111e-01
2.52938e+02 -9.77778e-02 2.52938e+02 2.35556e-01 2.52938e+02 2.76667e-01 2.52938e+02 1.58889e-01 2.52938e+02 -2.33333e-02
2.53735e+02 -7.00000e-02 2.53735e+02 9.55556e-02 2.53735e+02 1.88889e-01 2.53735e+02 9.00000e-02 2.53735e+02 -5.88889e-02
2.54533e+02 -1.66667e-02 2.54533e+02 1.46667e-01 2.54533e+02 2.30000e-01 2.54533e+02 1.98889e-01 2.54533e+02 -2.88889e-02
2.55330e+02 4.77778e-02 2.55330e+02 2.62222e-01 2.55330e+02 3.52222e-01 2.55330e+02 3.23333e-01 2.55330e+02 1.10000e-01
2.56128e+02 1.25556e-01 2.56128e+02 3.65556e-01 2.56128e+02 4.02222e-01 2.56128e+02 4.55556e-01 2.56128e+02 2.72222e-01
2.56925e+02 2.25556e-01 2.56925e+02 4.35556e-01 2.56925e+02 5.27778e-01 2.56925e+02 5.36667e-01 2.56925e+02 3.20000e-01
2.57722e+02 1.33333e-02 2.57722e+02 2.11111e-01 2.57722e+02 2.51111e-01 2.57722e+02 2.76667e-01 2.57722e+02 1.86667e-01
2.58520e+02 -3.88889e-02 2.58520e+02 1.03333e-01 2.58520e+02 1.32222e-01 2.58520e+02 2.41111e-01 2.58520e+02 1.04444e-01
2.59317e+02 -1.30000e-01 2.59317e+02 4.33333e-02 2.59317e+02 1.68889e-01 2.59317e+02 1.66667e-01 2.59317e+02 9.00000e-02
2.60114e+02 -2.33333e-02 2.60114e+02 1.46667e-01 2.60114e+02 2.75556e-01 2.60114e+02 2.31111e-01 2.60114e+02 2.80000e-01
2.60911e+02 -6.11111e-02 2.60911e+02 7.88889e-02 2.60911e+02 1.53333e-01 2.60911e+02 1.46667e-01 2.60911e+02 2.22222e-01
2.61708e+02 -2.93333e-01 2.61708e+02 -1.68889e-01 2.61708e+02 -1.11111e-03 2.61708e+02 -7.77778e-02 2.61708e+02 2.00000e-02
2.62505e+02 -4.92222e-01 2.62505e+02 -3.56667e-01 2.62505e+02 -2.47778e-01 2.62505e+02 -3.54444e-01 2.62505e+02 -1.24444e-01
2.63301e+02 -2.03333e-01 2.63301e+02 -1.80000e-01 2.63301e+02 -5.11111e-02 2.63301e+02 -1.41111e-01 2.63301e+02 8.66667e-02
2.64098e+02 -2.04444e-01 2.64098e+02 -8.11111e-02 2.64098e+02 -2.22222e-02 2.64098e+02 -1.55556e-01 2.64098e+02 5.88889e-02
2.64895e+02 4.44444e-03 2.64895e+02 1.48889e-01 2.64895e+02 1.42222e-01 2.64895e+02 1.31111e-01 2.64895e+02 2.90000e-01
2.65691e+02 -1.24444e-01 2.65691e+02 1.55556e-02 2.65691e+02 -4.22222e-02 2.65691e+02 1.05556e-01 2.65691e+02 1.10000e-01
2.66488e+02 -1.36667e-01 2.66488e+02 -5.00000e-02 2.66488e+02 -1.00000e-02 2.66488e+02 -1.77778e-02 2.66488e+02 3.88889e-02
2.67284e+02 1.15556e-01 2.67284e+02 2.94444e-01 2.67284e+02 1.42222e-01 2.67284e+02 2.58889e-01 2.67284e+02 3.41111e-01
2.68081e+02 1.01111e-01 2.68081e+02 2.36667e-01 2.68081e+02 1.27778e-01 2.68081e+02 2.10000e-01 2.68081e+02 2.97778e-01
2.68877e+02 -6.11111e-02 2.68877e+02 1.84444e-01 2.68877e+02 5.55556e-02 2.68877e+02 1.10000e-01 2.68877e+02 2.18889e-01
2.69673e+02 -1.67778e-01 2.69673e+02 5.22222e-02 2.69673e+02 1.55556e-02 2.69673e+02 -4.44444e-03 2.69673e+02 1.45556e-01
2.70469e+02 -2.78889e-01 2.70469e+02 -4.77778e-02 2.70469e+02 -1.15556e-01 2.70469e+02 -1.86667e-01 2.70469e+02 1.11111e-03
2.71265e+02 -3.05556e-01 2.71265e+02 -1.07778e-01 2.71265e+02 -2.01111e-01 2.71265e+02 -2.83333e-01 2.71265e+02 -1.05556e-01
2.72062e+02 -2.90000e-01 2.72062e+02 -1.01111e-01 2.72062e+02 -2.62222e-01 2.72062e+02 -2.20000e-01 2.72062e+02 -6.33333e-02
2.72857e+02 -4.26667e-01 2.72857e+02 -3.36667e-01 2.72857e+02 -4.15556e-01 2.72857e+02 -4.51111e-01 2.72857e+02 -3.30000e-01
2.73653e+02 -2.98889e-01 2.73653e+02 -1.75556e-01 2.73653e+02 -2.58889e-01 2.73653e+02 -2.75556e-01 2.73653e+02 -1.77778e-01
2.74449e+02 -2.04444e-01 2.74449e+02 -1.47778e-01 2.74449e+02 -1.43333e-01 2.74449e+02 -1.55556e-01 2.74449e+02 -1.00000e-01
2.75245e+02 -1.64444e-01 2.75245e+02 -9.77778e-02 2.75245e+02 -1.30000e-01 2.75245e+02 -6.44444e-02 2.75245e+02 -2.66667e-02
2.76041e+02 2.88889e-02 2.76041e+02 8.77778e-02 2.76041e+02 3.77778e-02 2.76041e+02 3.44444e-02 2.76041e+02 9.88889e-02
2.76836e+02 2.21111e-01 2.76836e+02 2.74444e-01 2.76836e+02 2.26667e-01 2.76836e+02 2.16667e-01 2.76836e+02 3.02222e-01
2.77632e+02 1.66667e-01 2.77632e+02 2.18889e-01 2.77632e+02 1.98889e-01 2.77632e+02 2.16667e-01 2.77632e+02 2.13333e-01
2.78427e+02 1.34444e-01 2.78427e+02 1.94444e-01 2.78427e+02 1.67778e-01 2.78427e+02 2.71111e-01 2.78427e+02 2.54444e-01
2.79223e+02 3.05556e-01 2.79223e+02 2.57778e-01 2.79223e+02 3.05556e-01 2.79223e+02 4.20000e-01 2.79223e+02 3.35556e-01
2.80018e+02 2.80000e-01 2.80018e+02 1.90000e-01 2.80018e+02 2.76667e-01 2.80018e+02 3.68889e-01 2.80018e+02 2.78889e-01
2.80813e+02 3.15556e-01 2.80813e+02 1.85556e-01 2.80813e+02 3.08889e-01 2.80813e+02 3.48889e-01 2.80813e+02 3.06667e-01
2.81609e+02 1.60000e-01 2.81609e+02 6.33333e-02 2.81609e+02 1.95556e-01 2.81609e+02 3.37778e-01 2.81609e+02 2.22222e-01
2.82404e+02 3.33333e-02 2.82404e+02 -1.28889e-01 2.82404e+02 2.55556e-02 2.82404e+02 1.33333e-01 2.82404e+02 1.18889e-01
2.83199e+02 1.53333e-01 2.83199e+02 6.88889e-02 2.83199e+02 1.70000e-01 2.83199e+02 2.10000e-01 2.83199e+02 1.91111e-01
2.83994e+02 8.88889e-02 2.83994e+02 1.16667e-01 2.83994e+02 2.15556e-01 2.83994e+02 1.72222e-01 2.83994e+02 1.55556e-01
2.84789e+02 -1.43333e-01 2.84789e+02 1.33333e-02 2.84789e+02 5.33333e-02 2.84789e+02 1.22222e-02 2.84789e+02 5.66667e-02
2.85584e+02 -4.28889e-01 2.85584e+02 -2.12222e-01 2.85584e+02 -2.07778e-01 2.85584e+02 -2.83333e-01 2.85584e+02 -2.21111e-01
2.86379e+02 -4.77778e-01 2.86379e+02 -2.57778e-01 2.86379e+02 -3.17778e-01 2.86379e+02 -3.00000e-01 2.86379e+02 -2.74444e-01
