x_CsPbBr_dilute_00 CsPbBr_dilute_00_mean x_CsPbBr_dilute_02 CsPbBr_dilute_02_mean x_CsPbBr_dilute_04 CsPbBr_dilute_04_mean x_CsPbBr_dilute_08 CsPbBr_dilute_08_mean x_CsPbBr_dilute_16 CsPbBr_dilute_16_mean
2.73653e+02 1.14444e-01 2.73653e+02 5.00000e-02 2.73653e+02 3.55556e-02 2.73653e+02 2.45455e-02 2.73653e+02 2.22222e-02
2.74449e+02 1.20000e-01 2.74449e+02 5.55556e-02 2.74449e+02 3.55556e-02 2.74449e+02 2.27273e-02 2.74449e+02 2.11111e-02
2.75245e+02 1.25556e-01 2.75245e+02 6.00000e-02 2.75245e+02 3.88889e-02 2.75245e+02 2.54545e-02 2.75245e+02 2.11111e-02
2.76041e+02 1.30000e-01 2.76041e+02 6.44444e-02 2.76041e+02 4.44444e-02 2.76041e+02 3.00000e-02 2.76041e+02 2.66667e-02
2.76836e+02 1.37778e-01 2.76836e+02 6.88889e-02 2.76836e+02 5.11111e-02 2.76836e+02 3.36364e-02 2.76836e+02 2.66667e-02
2.77632e+02 1.43333e-01 2.77632e+02 7.44444e-02 2.77632e+02 5.33333e-02 2.77632e+02 3.72727e-02 2.77632e+02 3.00000e-02
2.78427e+02 1.48889e-01 2.78427e+02 7.77778e-02 2.78427e+02 6.11111e-02 2.78427e+02 3.72727e-02 2.78427e+02 3.22222e-02
2.79223e+02 1.57778e-01 2.79223e+02 8.22222e-02 2.79223e+02 6.11111e-02 2.79223e+02 3.81818e-02 2.79223e+02 3.22222e-02
2.80018e+02 1.60000e-01 2.80018e+02 8.66667e-02 2.80018e+02 6.55556e-02 2.80018e+02 4.18182e-02 2.80018e+02 3.44444e-02
2.80813e+02 1.66667e-01 2.80813e+02 9.22222e-02 2.80813e+02 6.77778e-02 2.80813e+02 4.45455e-02 2.80813e+02 3.44444e-02
2.81609e+02 1.74444e-01 2.81609e+02 1.00000e-01 2.81609e+02 7.11111e-02 2.81609e+02 4.45455e-02 2.81609e+02 3.22222e-02
2.82404e+02 1.84444e-01 2.82404e+02 1.03333e-01 2.82404e+02 7.44444e-02 2.82404e+02 4.63636e-02 2.82404e+02 3.22222e-02
2.83199e+02 1.92222e-01 2.83199e+02 1.13333e-01 2.83199e+02 8.11111e-02 2.83199e+02 5.00000e-02 2.83199e+02 3.77778e-02
2.83994e+02 1.98889e-01 2.83994e+02 1.21111e-01 2.83994e+02 8.44444e-02 2.83994e+02 5.18182e-02 2.83994e+02 3.77778e-02
2.84789e+02 2.06667e-01 2.84789e+02 1.28889e-01 2.84789e+02 9.00000e-02 2.84789e+02 5.54545e-02 2.84789e+02 4.00000e-02
2.85584e+02 2.23333e-01 2.85584e+02 1.42222e-01 2.85584e+02 9.44444e-02 2.85584e+02 5.54545e-02 2.85584e+02 4.00000e-02
2.86379e+02 2.33333e-01 2.86379e+02 1.54444e-01 2.86379e+02 1.02222e-01 2.86379e+02 5.81818e-02 2.86379e+02 4.33333e-02
2.87173e+02 2.46667e-01 2.87173e+02 1.63333e-01 2.87173e+02 1.10000e-01 2.87173e+02 6.90909e-02 2.87173e+02 4.77778e-02
2.87968e+02 2.58889e-01 2.87968e+02 1.74444e-01 2.87968e+02 1.16667e-01 2.87968e+02 7.09091e-02 2.87968e+02 5.00000e-02
2.88763e+02 2.75556e-01 2.88763e+02 1.87778e-01 2.88763e+02 1.25556e-01 2.88763e+02 7.63636e-02 2.88763e+02 5.11111e-02
2.89557e+02 2.91111e-01 2.89557e+02 2.04444e-01 2.89557e+02 1.34444e-01 2.89557e+02 7.90909e-02 2.89557e+02 5.44444e-02
2.90352e+02 3.10000e-01 2.90352e+02 2.17778e-01 2.90352e+02 1.44444e-01 2.90352e+02 8.72727e-02 2.90352e+02 5.88889e-02
2.91146e+02 3.28889e-01 2.91146e+02 2.35556e-01 2.91146e+02 1.57778e-01 2.91146e+02 9.90909e-02 2.91146e+02 6.55556e-02
2.91940e+02 3.48889e-01 2.91940e+02 2.51111e-01 2.91940e+02 1.72222e-01 2.91940e+02 1.07273e-01 2.91940e+02 7.00000e-02
2.92735e+02 3.73333e-01 2.92735e+02 2.70000e-01 2.92735e+02 1.87778e-01 2.92735e+02 1.15455e-01 2.92735e+02 7.44444e-02
2.93529e+02 4.00000e-01 2.93529e+02 2.94444e-01 2.93529e+02 2.03333e-01 2.93529e+02 1.24545e-01 2.93529e+02 8.00000e-02
2.94323e+02 4.28889e-01 2.94323e+02 3.20000e-01 2.94323e+02 2.18889e-01 2.94323e+02 1.33636e-01 2.94323e+02 8.55556e-02
2.95117e+02 4.63333e-01 2.95117e+02 3.46667e-01 2.95117e+02 2.36667e-01 2.95117e+02 1.45455e-01 2.95117e+02 9.00000e-02
2.95911e+02 4.93333e-01 2.95911e+02 3.72222e-01 2.95911e+02 2.54444e-01 2.95911e+02 1.54545e-01 2.95911e+02 9.55556e-02
2.96705e+02 5.21111e-01 2.96705e+02 3.96667e-01 2.96705e+02 2.70000e-01 2.96705e+02 1.59091e-01 2.96705e+02 1.00000e-01
2.97499e+02 5.50000e-01 2.97499e+02 4.25556e-01 2.97499e+02 2.85556e-01 2.97499e+02 1.68182e-01 2.97499e+02 1.03333e-01
2.98293e+02 5.80000e-01 2.98293e+02 4.50000e-01 2.98293e+02 3.00000e-01 2.98293e+02 1.74545e-01 2.98293e+02 1.06667e-01
2.99086e+02 6.07778e-01 2.99086e+02 4.74444e-01 2.99086e+02 3.13333e-01 2.99086e+02 1.79091e-01 2.99086e+02 1.07778e-01
2.99880e+02 6.37778e-01 2.99880e+02 5.00000e-01 2.99880e+02 3.26667e-01 2.99880e+02 1.83636e-01 2.99880e+02 1.11111e-01
