r_Cl_64micl g_Cl_64micl r_Cl_32micl g_Cl_32micl r_Cl_16micl g_Cl_16micl r_Cl_8micl g_Cl_8micl r_CsPbBr2_10m g_CsPbBr2_10m r_I_8micl g_I_8micl r_I_16micl g_I_16micl r_I_32micl g_I_32micl r_I_64micl g_I_64micl
5.60000000e-01 -9.40158000e-02 5.60000000e-01 -1.32228000e-01 5.60000000e-01 -6.59246000e-02 5.60000000e-01 -5.09267000e-02 5.60000000e-01 -6.88234000e-02 5.60000000e-01 -9.75157000e-02 5.60000000e-01 -8.40455000e-02 5.60000000e-01 -5.92639000e-02 5.60000000e-01 -4.59871000e-02
5.70000000e-01 -8.47455000e-02 5.70000000e-01 -1.14588000e-01 5.70000000e-01 -6.00080000e-02 5.70000000e-01 -4.17483000e-02 5.70000000e-01 -7.07436000e-02 5.70000000e-01 -1.10410000e-01 5.70000000e-01 -8.83738000e-02 5.70000000e-01 -6.30712000e-02 5.70000000e-01 -4.89703000e-02
5.80000000e-01 -7.20149000e-02 5.80000000e-01 -9.20347000e-02 5.80000000e-01 -5.16352000e-02 5.80000000e-01 -3.06505000e-02 5.80000000e-01 -7.02596000e-02 5.80000000e-01 -1.20318000e-01 5.80000000e-01 -9.00653000e-02 5.80000000e-01 -6.50280000e-02 5.80000000e-01 -5.05465000e-02
5.90000000e-01 -5.58750000e-02 5.90000000e-01 -6.47468000e-02 5.90000000e-01 -4.08117000e-02 5.90000000e-01 -1.77269000e-02 5.90000000e-01 -6.72156000e-02 5.90000000e-01 -1.26831000e-01 5.90000000e-01 -8.89086000e-02 5.90000000e-01 -6.49633000e-02 5.90000000e-01 -5.05847000e-02
6.00000000e-01 -3.64696000e-02 6.00000000e-01 -3.30352000e-02 6.00000000e-01 -2.76081000e-02 6.00000000e-01 -3.11771000e-03 6.00000000e-01 -6.15244000e-02 6.00000000e-01 -1.29627000e-01 6.00000000e-01 -8.47673000e-02 6.00000000e-01 -6.27580000e-02 6.00000000e-01 -4.89933000e-02
6.10000000e-01 -1.40356000e-02 6.10000000e-01 2.65923000e-03 6.10000000e-01 -1.21606000e-02 6.10000000e-01 1.29921000e-02 6.10000000e-01 -5.31722000e-02 6.10000000e-01 -1.28485000e-01 6.10000000e-01 -7.75858000e-02 6.10000000e-01 -5.83500000e-02 6.10000000e-01 -4.57233000e-02
6.20000000e-01 1.11001000e-02 6.20000000e-01 4.17721000e-02 6.20000000e-01 5.32966000e-03 6.20000000e-01 3.03756000e-02 6.20000000e-01 -4.22207000e-02 6.20000000e-01 -1.23294000e-01 6.20000000e-01 -6.73927000e-02 6.20000000e-01 -5.17365000e-02 6.20000000e-01 -4.07709000e-02
6.30000000e-01 3.85260000e-02 6.30000000e-01 8.36251000e-02 6.30000000e-01 2.46000000e-02 6.30000000e-01 4.87675000e-02 6.30000000e-01 -2.88079000e-02 6.30000000e-01 -1.14054000e-01 6.30000000e-01 -5.43023000e-02 6.30000000e-01 -4.29759000e-02 6.30000000e-01 -3.41783000e-02
6.40000000e-01 6.77538000e-02 6.40000000e-01 1.27439000e-01 6.40000000e-01 4.53307000e-02 6.40000000e-01 6.78697000e-02 6.40000000e-01 -1.31453000e-02 6.40000000e-01 -1.00880000e-01 6.40000000e-01 -3.85127000e-02 6.40000000e-01 -3.21873000e-02 6.40000000e-01 -2.60331000e-02
6.50000000e-01 9.82291000e-02 6.50000000e-01 1.72352000e-01 6.50000000e-01 6.71518000e-02 6.50000000e-01 8.73570000e-02 6.50000000e-01 4.48554000e-03 6.50000000e-01 -8.40000000e-02 6.50000000e-01 -2.03030000e-02 6.50000000e-01 -1.95478000e-02 6.50000000e-01 -1.64672000e-02
6.60000000e-01 1.29344000e-01 6.60000000e-01 2.17437000e-01 6.60000000e-01 8.96511000e-02 6.60000000e-01 1.06884000e-01 6.60000000e-01 2.37400000e-02 6.60000000e-01 -6.37501000e-02 6.60000000e-01 -2.59150000e-05 6.60000000e-01 -5.28937000e-03 6.60000000e-01 -5.65315000e-03
6.70000000e-01 1.60451000e-01 6.70000000e-01 2.61723000e-01 6.70000000e-01 1.12384000e-01 6.70000000e-01 1.26093000e-01 6.70000000e-01 4.42183000e-02 6.70000000e-01 -4.05640000e-02 6.70000000e-01 2.18998000e-02 6.70000000e-01 1.03075000e-02 6.70000000e-01 6.19969000e-03
6.80000000e-01 1.90869000e-01 6.80000000e-01 3.04201000e-01 6.80000000e-01 1.34878000e-01 6.80000000e-01 1.44614000e-01 6.80000000e-01 6.54785000e-02 6.80000000e-01 -1.49489000e-02 6.80000000e-01 4.50056000e-02 6.80000000e-01 2.69256000e-02 6.80000000e-01 1.88548000e-02
6.90000000e-01 2.19897000e-01 6.90000000e-01 3.43850000e-01 6.90000000e-01 1.56639000e-01 6.90000000e-01 1.62075000e-01 6.90000000e-01 8.70295000e-02 6.90000000e-01 1.24886000e-02 6.90000000e-01 6.87616000e-02 6.90000000e-01 4.42008000e-02 6.90000000e-01 3.20404000e-02
7.00000000e-01 2.46880000e-01 7.00000000e-01 3.79746000e-01 7.00000000e-01 1.77198000e-01 7.00000000e-01 1.78142000e-01 7.00000000e-01 1.08364000e-01 7.00000000e-01 4.10647000e-02 7.00000000e-01 9.26070000e-02 7.00000000e-01 6.17402000e-02 7.00000000e-01 4.54625000e-02
7.10000000e-01 2.71187000e-01 7.10000000e-01 4.11002000e-01 7.10000000e-01 1.96095000e-01 7.10000000e-01 1.92493000e-01 7.10000000e-01 1.28977000e-01 7.10000000e-01 7.00878000e-02 7.10000000e-01 1.15983000e-01 7.10000000e-01 7.91506000e-02 7.10000000e-01 5.88276000e-02
7.20000000e-01 2.92235000e-01 7.20000000e-01 4.36819000e-01 7.20000000e-01 2.12901000e-01 7.20000000e-01 2.04839000e-01 7.20000000e-01 1.48375000e-01 7.20000000e-01 9.88490000e-02 7.20000000e-01 1.38332000e-01 7.20000000e-01 9.60370000e-02 7.20000000e-01 7.18408000e-02
7.30000000e-01 3.09505000e-01 7.30000000e-01 4.56501000e-01 7.30000000e-01 2.27226000e-01 7.30000000e-01 2.14928000e-01 7.30000000e-01 1.66084000e-01 7.30000000e-01 1.26642000e-01 7.30000000e-01 1.59117000e-01 7.30000000e-01 1.12014000e-01 7.30000000e-01 8.42141000e-02
7.40000000e-01 3.22562000e-01 7.40000000e-01 4.69485000e-01 7.40000000e-01 2.38732000e-01 7.40000000e-01 2.22553000e-01 7.40000000e-01 1.81670000e-01 7.40000000e-01 1.52783000e-01 7.40000000e-01 1.77833000e-01 7.40000000e-01 1.26715000e-01 7.40000000e-01 9.56747000e-02
7.50000000e-01 3.31059000e-01 7.50000000e-01 4.75350000e-01 7.50000000e-01 2.47139000e-01 7.50000000e-01 2.27557000e-01 7.50000000e-01 1.94745000e-01 7.50000000e-01 1.76631000e-01 7.50000000e-01 1.94024000e-01 7.50000000e-01 1.39806000e-01 7.50000000e-01 1.05973000e-01
7.60000000e-01 3.34759000e-01 7.60000000e-01 4.73837000e-01 7.60000000e-01 2.52241000e-01 7.60000000e-01 2.29838000e-01 7.60000000e-01 2.04984000e-01 7.60000000e-01 1.97607000e-01 7.60000000e-01 2.07295000e-01 7.60000000e-01 1.50991000e-01 7.60000000e-01 1.14888000e-01
7.70000000e-01 3.33534000e-01 7.70000000e-01 4.64860000e-01 7.70000000e-01 2.53903000e-01 7.70000000e-01 2.29354000e-01 7.70000000e-01 2.12131000e-01 7.70000000e-01 2.15211000e-01 7.70000000e-01 2.17326000e-01 7.70000000e-01 1.60024000e-01 7.70000000e-01 1.22237000e-01
7.80000000e-01 3.27375000e-01 7.80000000e-01 4.48506000e-01 7.80000000e-01 2.52074000e-01 7.80000000e-01 2.26121000e-01 7.80000000e-01 2.16009000e-01 7.80000000e-01 2.29032000e-01 7.80000000e-01 2.23878000e-01 7.80000000e-01 1.66714000e-01 7.80000000e-01 1.27878000e-01
7.90000000e-01 3.16394000e-01 7.90000000e-01 4.25042000e-01 7.90000000e-01 2.46784000e-01 7.90000000e-01 2.20215000e-01 7.90000000e-01 2.16528000e-01 7.90000000e-01 2.38770000e-01 7.90000000e-01 2.26804000e-01 7.90000000e-01 1.70934000e-01 7.90000000e-01 1.31714000e-01
8.00000000e-01 3.00822000e-01 8.00000000e-01 3.94911000e-01 8.00000000e-01 2.38149000e-01 8.00000000e-01 2.11774000e-01 8.00000000e-01 2.13683000e-01 8.00000000e-01 2.44233000e-01 8.00000000e-01 2.26053000e-01 8.00000000e-01 1.72619000e-01 8.00000000e-01 1.33698000e-01
