Wavelength Abs_008
4.29084e+02 4.00000e-02
4.29865e+02 4.00000e-02
4.30647e+02 4.00000e-02
4.31429e+02 4.00000e-02
4.32211e+02 4.00000e-02
4.32992e+02 4.00000e-02
4.33774e+02 4.00000e-02
4.34555e+02 4.00000e-02
4.35337e+02 4.00000e-02
4.36118e+02 4.00000e-02
4.36899e+02 4.00000e-02
4.37680e+02 4.00000e-02
4.38461e+02 4.00000e-02
4.39242e+02 4.00000e-02
4.40023e+02 4.00000e-02
4.40804e+02 4.00000e-02
4.41585e+02 4.00000e-02
4.42366e+02 4.00000e-02
4.43146e+02 4.00000e-02
4.43927e+02 4.00000e-02
4.44707e+02 4.00000e-02
4.45488e+02 4.00000e-02
4.46268e+02 4.00000e-02
4.47048e+02 4.00000e-02
4.47828e+02 4.00000e-02
4.48609e+02 4.00000e-02
4.49389e+02 4.00000e-02
4.50169e+02 4.00000e-02
4.50948e+02 4.00000e-02
4.51728e+02 4.00000e-02
4.52508e+02 4.00000e-02
4.53288e+02 4.00000e-02
4.54067e+02 4.00000e-02
4.54847e+02 4.00000e-02
4.55626e+02 4.00000e-02
4.56406e+02 3.00000e-02
4.57185e+02 3.00000e-02
4.57964e+02 3.00000e-02
4.58743e+02 3.00000e-02
4.59522e+02 3.00000e-02
4.60301e+02 3.00000e-02
4.61080e+02 3.00000e-02
4.61859e+02 3.00000e-02
4.62638e+02 3.00000e-02
4.63417e+02 3.00000e-02
4.64195e+02 3.00000e-02
4.64974e+02 3.00000e-02
4.65752e+02 3.00000e-02
4.66531e+02 3.00000e-02
4.67309e+02 3.00000e-02
4.68087e+02 3.00000e-02
4.68865e+02 3.00000e-02
4.69644e+02 3.00000e-02
4.70422e+02 3.00000e-02
4.71200e+02 3.00000e-02
4.71977e+02 3.00000e-02
4.72755e+02 3.00000e-02
4.73533e+02 3.00000e-02
4.74311e+02 3.00000e-02
4.75088e+02 3.00000e-02
4.75866e+02 3.00000e-02
4.76643e+02 3.00000e-02
4.77420e+02 3.00000e-02
4.78198e+02 3.00000e-02
4.78975e+02 3.00000e-02
4.79752e+02 3.00000e-02
4.80529e+02 3.00000e-02
4.81306e+02 3.00000e-02
4.82083e+02 3.00000e-02
4.82860e+02 3.00000e-02
4.83637e+02 3.00000e-02
4.84413e+02 3.00000e-02
4.85190e+02 3.00000e-02
4.85966e+02 3.00000e-02
4.86743e+02 3.00000e-02
4.87519e+02 3.00000e-02
4.88295e+02 3.00000e-02
4.89072e+02 3.00000e-02
4.89848e+02 3.00000e-02
4.90624e+02 3.00000e-02
4.91400e+02 3.00000e-02
4.92176e+02 3.00000e-02
4.92952e+02 3.00000e-02
4.93727e+02 3.00000e-02
4.94503e+02 3.00000e-02
4.95279e+02 3.00000e-02
4.96054e+02 3.00000e-02
4.96830e+02 3.00000e-02
4.97605e+02 3.00000e-02
4.98380e+02 3.00000e-02
4.99156e+02 3.00000e-02
4.99931e+02 3.00000e-02
5.00706e+02 3.00000e-02
5.01481e+02 3.00000e-02
5.02256e+02 3.00000e-02
5.03031e+02 3.00000e-02
5.03805e+02 3.00000e-02
5.04580e+02 3.00000e-02
5.05355e+02 3.00000e-02
5.06129e+02 3.00000e-02
5.06904e+02 3.00000e-02
5.07678e+02 3.00000e-02
5.08452e+02 3.00000e-02
5.09227e+02 3.00000e-02
5.10001e+02 3.00000e-02
5.10775e+02 3.00000e-02
5.11549e+02 2.00000e-02
5.12323e+02 2.00000e-02
5.13097e+02 2.00000e-02
5.13871e+02 2.00000e-02
5.14644e+02 2.00000e-02
5.15418e+02 2.00000e-02
5.16192e+02 2.00000e-02
5.16965e+02 2.00000e-02
5.17738e+02 2.00000e-02
5.18512e+02 1.00000e-02
5.19285e+02 1.00000e-02
5.20058e+02 1.00000e-02
5.20831e+02 1.00000e-02
5.21604e+02 1.00000e-02
5.22377e+02 1.00000e-02
5.23150e+02 1.00000e-02
5.23923e+02 1.00000e-02
5.24696e+02 1.00000e-02
5.25468e+02 1.00000e-02
5.26241e+02 1.00000e-02
5.27013e+02 1.00000e-02
5.27786e+02 1.00000e-02
5.28558e+02 0.00000e+00
5.29330e+02 0.00000e+00
5.30102e+02 0.00000e+00
5.30875e+02 0.00000e+00
5.31647e+02 0.00000e+00
5.32418e+02 0.00000e+00
5.33190e+02 0.00000e+00
5.33962e+02 0.00000e+00
5.34734e+02 0.00000e+00
5.35505e+02 0.00000e+00
5.36277e+02 0.00000e+00
5.37049e+02 0.00000e+00
5.37820e+02 0.00000e+00
5.38591e+02 0.00000e+00
5.39363e+02 0.00000e+00
5.40134e+02 0.00000e+00
5.40905e+02 0.00000e+00
5.41676e+02 0.00000e+00
5.42447e+02 0.00000e+00
5.43218e+02 0.00000e+00
5.43988e+02 0.00000e+00
5.44759e+02 0.00000e+00
5.45530e+02 0.00000e+00
5.46300e+02 0.00000e+00
5.47071e+02 0.00000e+00
