CsPb(OA)3 TOABr ZnCl2 OAm_Tol Peak_nm FWHM_nm PLQY OAm_frac Total R_time_sec Cl_Pb OA_frac total_rate_round R_time_round OAm_frac_round Cl_Pb_round
2.97000008e+01 8.90999985e+01 1.33649994e+02 1.75499992e+01 4.36750000e+02 2.14599991e+01 3.79999995e-01 5.00000007e-02 2.70000000e+02 1.08099998e+02 4.50000000e+00 7.00000003e-02 2.70000000e+02 1.08000000e+02 5.00000000e-02 4.50000000e+00
3.55000000e+01 1.06500000e+02 1.06500000e+02 2.15000000e+01 4.54839996e+02 2.15499992e+01 6.49999976e-01 5.00000007e-02 2.70000000e+02 1.08099998e+02 3.00000000e+00 9.00000036e-02 2.70000000e+02 1.08000000e+02 5.00000000e-02 3.00000000e+00
4.40699997e+01 1.32210007e+02 6.61100006e+01 2.76200008e+01 4.76880005e+02 2.67099991e+01 7.02000022e-01 5.00000007e-02 2.70000000e+02 1.08099998e+02 1.50000000e+00 1.09999999e-01 2.70000000e+02 1.08000000e+02 5.00000000e-02 1.50000000e+00
5.01300011e+01 1.50389999e+02 3.75999985e+01 3.18799992e+01 4.96769989e+02 2.42900009e+01 7.69999981e-01 5.00000007e-02 2.70000000e+02 1.08099998e+02 7.50000000e-01 1.19999997e-01 2.70000000e+02 1.08000000e+02 5.00000000e-02 7.50000000e-01
5.46500015e+01 1.63949997e+02 1.63999996e+01 3.50099983e+01 5.07739990e+02 2.20000000e+01 9.13999975e-01 5.00000007e-02 2.70000000e+02 1.08099998e+02 3.00000012e-01 1.29999995e-01 2.70000000e+02 1.08000000e+02 5.00000000e-02 3.00000000e-01
2.76299992e+01 8.28899994e+01 1.24339996e+02 3.51500015e+01 4.43529999e+02 3.54399986e+01 2.94000000e-01 7.00000003e-02 2.70000000e+02 1.08099998e+02 4.50000000e+00 7.00000003e-02 2.70000000e+02 1.08000000e+02 7.00000000e-02 4.50000000e+00
3.30099983e+01 9.90299988e+01 9.90299988e+01 3.89300003e+01 4.51660004e+02 3.79000015e+01 3.67000014e-01 7.00000003e-02 2.70000000e+02 1.08099998e+02 3.00000000e+00 7.99999982e-02 2.70000000e+02 1.08000000e+02 7.00000000e-02 3.00000000e+00
4.10000000e+01 1.23000000e+02 6.15000000e+01 4.45000000e+01 4.79489990e+02 2.87099991e+01 5.78000009e-01 7.00000003e-02 2.70000000e+02 1.08099998e+02 1.50000000e+00 1.00000001e-01 2.70000000e+02 1.08000000e+02 7.00000000e-02 1.50000000e+00
4.66199989e+01 1.39860001e+02 3.49700012e+01 4.85600014e+01 4.94369995e+02 2.57800007e+01 8.65999997e-01 7.00000003e-02 2.70000000e+02 1.08099998e+02 7.50000000e-01 1.19999997e-01 2.70000000e+02 1.08000000e+02 7.00000000e-02 7.50000000e-01
5.08100014e+01 1.52429993e+02 1.52399998e+01 5.15200005e+01 5.08660004e+02 2.27999992e+01 5.64000010e-01 7.00000003e-02 2.70000000e+02 1.08099998e+02 3.00000012e-01 1.29999995e-01 2.70000000e+02 1.08000000e+02 7.00000000e-02 3.00000000e-01
