Wavelength Dark Reference Sample Absorbance
3.01467e+02 1.88611e+01 1.11973e+04 7.16203e+03 1.92366e-01
3.02260e+02 1.48611e+01 1.05817e+04 6.60636e+03 2.06235e-01
3.03054e+02 1.88611e+01 1.00856e+04 6.16225e+03 2.14868e-01
3.03847e+02 2.07500e+01 9.79150e+03 5.87581e+03 2.22421e-01
3.04640e+02 2.04167e+01 9.80494e+03 5.75958e+03 2.32880e-01
3.05433e+02 1.97500e+01 1.01394e+04 5.81458e+03 2.42328e-01
3.06227e+02 2.78611e+01 1.05966e+04 5.95369e+03 2.51475e-01
3.07020e+02 2.03056e+01 1.09259e+04 5.99314e+03 2.63562e-01
3.07813e+02 1.96389e+01 1.09891e+04 5.91347e+03 2.70209e-01
3.08605e+02 1.69722e+01 1.07309e+04 5.66303e+03 2.79138e-01
3.09398e+02 1.81944e+01 1.01458e+04 5.24225e+03 2.90239e-01
3.10191e+02 1.68611e+01 9.49806e+03 4.83325e+03 2.92780e-01
3.10984e+02 1.83056e+01 9.34661e+03 4.63869e+03 3.06113e-01
3.11776e+02 1.66389e+01 9.86783e+03 4.82536e+03 3.12239e-01
3.12569e+02 1.83056e+01 1.06874e+04 5.15447e+03 3.20119e-01
3.13361e+02 1.99722e+01 1.12909e+04 5.37847e+03 3.23152e-01
3.14154e+02 2.01944e+01 1.15817e+04 5.46136e+03 3.28029e-01
3.14946e+02 1.75278e+01 1.16814e+04 5.45558e+03 3.32740e-01
3.15738e+02 1.81944e+01 1.16535e+04 5.42303e+03 3.32075e-01
3.16530e+02 2.09722e+01 1.14873e+04 5.31592e+03 3.34436e-01
3.17323e+02 2.05278e+01 1.12359e+04 5.20514e+03 3.32940e-01
3.18115e+02 1.89722e+01 1.09365e+04 5.08681e+03 3.32678e-01
3.18907e+02 1.67500e+01 1.05997e+04 4.95181e+03 3.31196e-01
3.19698e+02 1.99722e+01 1.02769e+04 4.82747e+03 3.28662e-01
3.20490e+02 1.74167e+01 9.97661e+03 4.70358e+03 3.27183e-01
3.21282e+02 1.74167e+01 9.71817e+03 4.62114e+03 3.23623e-01
3.22074e+02 1.95278e+01 9.50417e+03 4.57314e+03 3.20380e-01
3.22865e+02 1.85278e+01 9.38272e+03 4.52525e+03 3.17872e-01
3.23657e+02 2.14167e+01 9.34028e+03 4.52503e+03 3.13252e-01
3.24448e+02 1.96389e+01 9.34606e+03 4.54869e+03 3.12889e-01
3.25240e+02 1.56389e+01 9.39861e+03 4.57703e+03 3.13227e-01
3.26031e+02 1.75278e+01 9.45594e+03 4.57914e+03 3.18152e-01
3.26823e+02 1.87500e+01 9.43517e+03 4.57492e+03 3.16980e-01
3.27614e+02 1.75278e+01 9.41283e+03 4.52036e+03 3.19107e-01
3.28405e+02 2.31944e+01 9.34494e+03 4.45814e+03 3.25022e-01
3.29196e+02 1.89722e+01 9.32350e+03 4.40514e+03 3.29887e-01
3.29987e+02 1.97500e+01 9.41172e+03 4.38914e+03 3.31420e-01
3.30778e+02 2.24167e+01 9.60083e+03 4.41436e+03 3.39927e-01
3.31569e+02 1.61944e+01 9.85761e+03 4.42314e+03 3.46373e-01
3.32360e+02 1.91944e+01 1.00562e+04 4.47592e+03 3.53814e-01
3.33150e+02 2.17500e+01 1.01292e+04 4.41992e+03 3.62030e-01
3.33941e+02 1.76389e+01 1.01115e+04 4.33025e+03 3.68657e-01
3.34731e+02 1.83056e+01 9.99894e+03 4.20236e+03 3.77848e-01
3.35522e+02 1.87500e+01 9.96483e+03 4.13269e+03 3.84352e-01
3.36312e+02 2.09722e+01 1.00587e+04 4.05914e+03 3.96654e-01
3.37103e+02 1.75278e+01 1.01974e+04 4.06136e+03 4.01218e-01
3.37893e+02 1.99722e+01 1.03166e+04 4.04292e+03 4.09251e-01
3.38683e+02 1.85278e+01 1.03372e+04 3.98881e+03 4.15170e-01
3.39473e+02 2.15278e+01 1.02863e+04 3.91892e+03 4.17691e-01
3.40264e+02 2.10833e+01 1.01693e+04 3.80847e+03 4.29327e-01
3.41054e+02 1.80833e+01 1.00292e+04 3.69536e+03 4.33219e-01
3.41844e+02 1.76389e+01 9.84906e+03 3.60069e+03 4.38472e-01
3.42633e+02 1.84167e+01 9.60194e+03 3.48214e+03 4.42255e-01
3.43423e+02 2.10833e+01 9.33283e+03 3.36558e+03 4.45090e-01
3.44213e+02 2.20833e+01 9.05639e+03 3.25425e+03 4.47687e-01
3.45003e+02 2.01944e+01 8.81983e+03 3.17725e+03 4.43913e-01
3.45792e+02 1.95278e+01 8.65272e+03 3.08836e+03 4.48688e-01
3.46582e+02 1.97500e+01 8.51872e+03 3.06714e+03 4.44028e-01
3.47371e+02 1.86389e+01 8.45994e+03 3.04269e+03 4.45685e-01
3.48161e+02 1.86389e+01 8.41683e+03 3.05636e+03 4.42236e-01
3.48950e+02 2.11944e+01 8.35461e+03 3.04014e+03 4.39597e-01
3.49739e+02 1.85278e+01 8.30394e+03 3.02792e+03 4.38460e-01
3.50528e+02 1.83056e+01 8.20539e+03 3.03725e+03 4.32920e-01
3.51317e+02 2.04167e+01 8.08294e+03 3.03825e+03 4.26470e-01
3.52106e+02 1.55278e+01 7.93694e+03 3.01658e+03 4.19656e-01
3.52895e+02 1.95278e+01 7.74550e+03 2.99558e+03 4.19314e-01
3.53684e+02 1.95278e+01 7.54950e+03 2.97581e+03 4.07219e-01
3.54473e+02 1.98611e+01 7.42539e+03 2.99236e+03 3.95541e-01
3.55262e+02 1.61944e+01 7.34928e+03 3.01025e+03 3.90295e-01
3.56051e+02 1.59722e+01 7.37406e+03 3.08092e+03 3.81805e-01
3.56839e+02 1.97500e+01 7.46650e+03 3.18703e+03 3.73663e-01
3.57628e+02 1.80833e+01 7.57661e+03 3.33592e+03 3.62151e-01
3.58416e+02 1.99722e+01 7.67839e+03 3.47314e+03 3.42638e-01
3.59205e+02 2.01944e+01 7.66194e+03 3.57058e+03 3.36544e-01
3.59993e+02 2.04167e+01 7.59350e+03 3.63192e+03 3.21386e-01
3.60781e+02 1.91944e+01 7.42806e+03 3.66169e+03 3.06407e-01
3.61569e+02 1.90833e+01 7.26594e+03 3.71258e+03 2.89474e-01
3.62357e+02 2.10833e+01 7.20383e+03 3.78592e+03 2.80482e-01
3.63145e+02 1.71944e+01 7.27772e+03 3.96769e+03 2.63505e-01
3.63933e+02 1.79722e+01 7.42961e+03 4.17658e+03 2.51903e-01
3.64721e+02 1.76389e+01 7.61972e+03 4.43892e+03 2.33955e-01
3.65509e+02 1.85278e+01 7.78728e+03 4.69981e+03 2.18730e-01
3.66297e+02 1.86389e+01 7.88139e+03 4.92781e+03 2.06047e-01
3.67085e+02 1.59722e+01 7.89417e+03 5.14969e+03 1.88747e-01
3.67872e+02 1.58611e+01 7.80583e+03 5.26325e+03 1.72315e-01
3.68660e+02 1.85278e+01 7.59983e+03 5.30647e+03 1.55945e-01
3.69447e+02 1.93056e+01 7.38728e+03 5.36703e+03 1.40725e-01
3.70235e+02 1.81944e+01 7.18839e+03 5.40036e+03 1.20587e-01
3.71022e+02 2.11944e+01 7.08172e+03 5.50858e+03 1.10803e-01
3.71809e+02 1.70833e+01 7.10272e+03 5.70158e+03 9.27995e-02
3.72596e+02 1.99722e+01 7.20094e+03 5.97558e+03 7.89030e-02
3.73383e+02 1.87500e+01 7.32706e+03 6.27436e+03 6.84375e-02
3.74170e+02 1.76389e+01 7.48550e+03 6.61781e+03 5.55156e-02
3.74957e+02 1.85278e+01 7.55250e+03 6.90425e+03 3.98693e-02
3.75744e+02 1.45278e+01 7.54328e+03 7.06181e+03 2.92925e-02
3.76531e+02 1.58611e+01 7.36083e+03 7.06047e+03 2.12432e-02
3.77318e+02 2.20833e+01 7.33750e+03 7.21914e+03 5.29038e-03
