Wavelength Dark Reference Sample Absorbance
2.95117e+02 1.72678e+03 2.31391e+04 2.61722e+02 1.94819e+00
2.95911e+02 1.72433e+03 2.32503e+04 2.71167e+02 1.93669e+00
2.96705e+02 1.72378e+03 2.31740e+04 2.81056e+02 1.90955e+00
2.97499e+02 1.72356e+03 2.29361e+04 2.93167e+02 1.88670e+00
2.98293e+02 1.72222e+03 2.25014e+04 3.03500e+02 1.85329e+00
2.99086e+02 1.72667e+03 2.19967e+04 3.07833e+02 1.84279e+00
2.99880e+02 1.72500e+03 2.12942e+04 3.09944e+02 1.82759e+00
3.00673e+02 1.72511e+03 2.05686e+04 3.18056e+02 1.80324e+00
3.01467e+02 1.72411e+03 1.97360e+04 3.18389e+02 1.77943e+00
3.02260e+02 1.72322e+03 1.88980e+04 3.14500e+02 1.76066e+00
3.03054e+02 1.72422e+03 1.81823e+04 3.22833e+02 1.74107e+00
3.03847e+02 1.72500e+03 1.78553e+04 3.31167e+02 1.72401e+00
3.04640e+02 1.72389e+03 1.80376e+04 3.48389e+02 1.69325e+00
3.05433e+02 1.72367e+03 1.86576e+04 3.71944e+02 1.67849e+00
3.06227e+02 1.73222e+03 1.95424e+04 4.11056e+02 1.66050e+00
3.07020e+02 1.72422e+03 2.02531e+04 4.33389e+02 1.64845e+00
3.07813e+02 1.72389e+03 2.05279e+04 4.49611e+02 1.63660e+00
3.08605e+02 1.72156e+03 2.01804e+04 4.64722e+02 1.61667e+00
3.09398e+02 1.72267e+03 1.92162e+04 4.56722e+02 1.59907e+00
3.10191e+02 1.72322e+03 1.80900e+04 4.51500e+02 1.57494e+00
3.10984e+02 1.72400e+03 1.78152e+04 4.57500e+02 1.56621e+00
3.11776e+02 1.72222e+03 1.89231e+04 4.92611e+02 1.55369e+00
3.12569e+02 1.72456e+03 2.04804e+04 5.48167e+02 1.54539e+00
3.13361e+02 1.72511e+03 2.17351e+04 5.92611e+02 1.54388e+00
3.14154e+02 1.72589e+03 2.24341e+04 6.29833e+02 1.53140e+00
3.14946e+02 1.72311e+03 2.27007e+04 6.47056e+02 1.52454e+00
3.15738e+02 1.72500e+03 2.26748e+04 6.66056e+02 1.51014e+00
3.16530e+02 1.72633e+03 2.25289e+04 6.72056e+02 1.50453e+00
3.17323e+02 1.72567e+03 2.21703e+04 6.77389e+02 1.49541e+00
3.18115e+02 1.72322e+03 2.17503e+04 6.71944e+02 1.49278e+00
3.18907e+02 1.72344e+03 2.12217e+04 6.66278e+02 1.47225e+00
3.19698e+02 1.72667e+03 2.07410e+04 6.61056e+02 1.46900e+00
3.20490e+02 1.72389e+03 2.02269e+04 6.55278e+02 1.46149e+00
3.21282e+02 1.72378e+03 1.98239e+04 6.53833e+02 1.45356e+00
3.22074e+02 1.72456e+03 1.95133e+04 6.60944e+02 1.44411e+00
3.22865e+02 1.72289e+03 1.93156e+04 6.66722e+02 1.43233e+00
3.23657e+02 1.72711e+03 1.92554e+04 6.74167e+02 1.43151e+00
3.24448e+02 1.72533e+03 1.93567e+04 6.82278e+02 1.42661e+00
3.25240e+02 1.72267e+03 1.95122e+04 6.98389e+02 1.41574e+00
3.26031e+02 1.72356e+03 1.96326e+04 7.12611e+02 1.41433e+00
3.26823e+02 1.72544e+03 1.97278e+04 7.27056e+02 1.40229e+00
3.27614e+02 1.72344e+03 1.96820e+04 7.33389e+02 1.40044e+00
3.28405e+02 1.72867e+03 1.96596e+04 7.45278e+02 1.39591e+00
3.29196e+02 1.72300e+03 1.96498e+04 7.45833e+02 1.39420e+00
3.29987e+02 1.72344e+03 1.98552e+04 7.64167e+02 1.38882e+00
3.30778e+02 1.72578e+03 2.03580e+04 7.96611e+02 1.38336e+00
3.31569e+02 1.72056e+03 2.10114e+04 8.17500e+02 1.38100e+00
3.32360e+02 1.72367e+03 2.14969e+04 8.52944e+02 1.37649e+00
3.33150e+02 1.72800e+03 2.17392e+04 8.74833e+02 1.37294e+00
3.33941e+02 1.72522e+03 2.17621e+04 8.77389e+02 1.36738e+00
3.34731e+02 1.72467e+03 2.16604e+04 8.88278e+02 1.35965e+00
3.35522e+02 1.72667e+03 2.16119e+04 9.02500e+02 1.35390e+00
3.36312e+02 1.72367e+03 2.18023e+04 9.19944e+02 1.34964e+00
3.37103e+02 1.72422e+03 2.22157e+04 9.48611e+02 1.34032e+00
3.37893e+02 1.72522e+03 2.25392e+04 9.78833e+02 1.33742e+00
3.38683e+02 1.72444e+03 2.26802e+04 1.00361e+03 1.32821e+00
3.39473e+02 1.72678e+03 2.25892e+04 1.00672e+03 1.32642e+00
3.40264e+02 1.72589e+03 2.24091e+04 1.00850e+03 1.32051e+00
3.41054e+02 1.72267e+03 2.22051e+04 1.01594e+03 1.31365e+00
3.41844e+02 1.72578e+03 2.18718e+04 1.01628e+03 1.30736e+00
3.42633e+02 1.72311e+03 2.14406e+04 1.01450e+03 1.29680e+00
3.43423e+02 1.72356e+03 2.09066e+04 1.00306e+03 1.29192e+00
3.44213e+02 1.72789e+03 2.03728e+04 9.93944e+02 1.28273e+00
3.45003e+02 1.72533e+03 1.99329e+04 9.89833e+02 1.27580e+00
3.45792e+02 1.72433e+03 1.96107e+04 9.87500e+02 1.26639e+00
3.46582e+02 1.72411e+03 1.94144e+04 9.86389e+02 1.26211e+00
3.47371e+02 1.72433e+03 1.92706e+04 9.95389e+02 1.25400e+00
3.48161e+02 1.72589e+03 1.92342e+04 1.01894e+03 1.24221e+00
3.48950e+02 1.72700e+03 1.91400e+04 1.02961e+03 1.23740e+00
3.49739e+02 1.72522e+03 1.90753e+04 1.03461e+03 1.23342e+00
3.50528e+02 1.72244e+03 1.89400e+04 1.05039e+03 1.22127e+00
3.51317e+02 1.72789e+03 1.87333e+04 1.06528e+03 1.21141e+00
3.52106e+02 1.72300e+03 1.84013e+04 1.05628e+03 1.20515e+00
3.52895e+02 1.72389e+03 1.80164e+04 1.05306e+03 1.19607e+00
3.53684e+02 1.72633e+03 1.76248e+04 1.05483e+03 1.18440e+00
3.54473e+02 1.72600e+03 1.73256e+04 1.04683e+03 1.18175e+00
3.55262e+02 1.72311e+03 1.71782e+04 1.05672e+03 1.17120e+00
3.56051e+02 1.72333e+03 1.72236e+04 1.06672e+03 1.17115e+00
3.56839e+02 1.72678e+03 1.75107e+04 1.11139e+03 1.16106e+00
3.57628e+02 1.72389e+03 1.77949e+04 1.14250e+03 1.15745e+00
3.58416e+02 1.72378e+03 1.80167e+04 1.17817e+03 1.14733e+00
3.59205e+02 1.72667e+03 1.80041e+04 1.18361e+03 1.14495e+00
3.59993e+02 1.72489e+03 1.78603e+04 1.19961e+03 1.13654e+00
3.60781e+02 1.72411e+03 1.74948e+04 1.18539e+03 1.13075e+00
3.61569e+02 1.72556e+03 1.71069e+04 1.18094e+03 1.12283e+00
3.62357e+02 1.72411e+03 1.69709e+04 1.19728e+03 1.11177e+00
3.63145e+02 1.72233e+03 1.70966e+04 1.22550e+03 1.10571e+00
3.63933e+02 1.72356e+03 1.74903e+04 1.28472e+03 1.09517e+00
3.64721e+02 1.72389e+03 1.79698e+04 1.35206e+03 1.08345e+00
3.65509e+02 1.72422e+03 1.83831e+04 1.41494e+03 1.07672e+00
3.66297e+02 1.72600e+03 1.86216e+04 1.47017e+03 1.06524e+00
3.67085e+02 1.72311e+03 1.87540e+04 1.50439e+03 1.06011e+00
3.67872e+02 1.72300e+03 1.86233e+04 1.55072e+03 1.04149e+00
3.68660e+02 1.72411e+03 1.81222e+04 1.55728e+03 1.02440e+00
3.69447e+02 1.72311e+03 1.77048e+04 1.56172e+03 1.01626e+00
3.70235e+02 1.72422e+03 1.72519e+04 1.55850e+03 1.00249e+00
3.71022e+02 1.72667e+03 1.69784e+04 1.57528e+03 9.92467e-01
3.71809e+02 1.72356e+03 1.70568e+04 1.60739e+03 9.83508e-01
3.72596e+02 1.72433e+03 1.72346e+04 1.67117e+03 9.72794e-01
3.73383e+02 1.72367e+03 1.76261e+04 1.73839e+03 9.64669e-01
3.74170e+02 1.72656e+03 1.79642e+04 1.80539e+03 9.59146e-01
3.74957e+02 1.72233e+03 1.81504e+04 1.86783e+03 9.45904e-01
3.75744e+02 1.72056e+03 1.81271e+04 1.88306e+03 9.45027e-01
3.76531e+02 1.72200e+03 1.76384e+04 1.87217e+03 9.35293e-01
3.77318e+02 1.72500e+03 1.75141e+04 1.91283e+03 9.23324e-01
3.78105e+02 1.72644e+03 1.80703e+04 2.00594e+03 9.15312e-01
3.78891e+02 1.72133e+03 1.92501e+04 2.15894e+03 9.12311e-01
3.79678e+02 1.72256e+03 2.04548e+04 2.32039e+03 9.09701e-01
3.80464e+02 1.72178e+03 2.07939e+04 2.38794e+03 9.05340e-01
3.81251e+02 1.72344e+03 2.11294e+04 2.45717e+03 8.97756e-01
3.82037e+02 1.72433e+03 2.11237e+04 2.50194e+03 8.91508e-01
3.82823e+02 1.72444e+03 2.13811e+04 2.56194e+03 8.87623e-01
3.83609e+02 1.72633e+03 2.11734e+04 2.57161e+03 8.80986e-01
3.84395e+02 1.72656e+03 2.09863e+04 2.56350e+03 8.78758e-01
3.85181e+02 1.72578e+03 2.05979e+04 2.55039e+03 8.73498e-01
3.85967e+02 1.72211e+03 2.02158e+04 2.52717e+03 8.68336e-01
3.86753e+02 1.72344e+03 2.00226e+04 2.54717e+03 8.63080e-01
3.87539e+02 1.72689e+03 2.01839e+04 2.60839e+03 8.54928e-01
3.88325e+02 1.72567e+03 2.03541e+04 2.66494e+03 8.47040e-01
3.89110e+02 1.72533e+03 2.02456e+04 2.66272e+03 8.46869e-01
3.89896e+02 1.72322e+03 1.96504e+04 2.62306e+03 8.37904e-01
3.90682e+02 1.72456e+03 1.97120e+04 2.68717e+03 8.30489e-01
3.91467e+02 1.72322e+03 2.02022e+04 2.78072e+03 8.24984e-01
3.92252e+02 1.72233e+03 2.08651e+04 2.91428e+03 8.19501e-01
3.93038e+02 1.72267e+03 2.16916e+04 3.07394e+03 8.15324e-01
3.93823e+02 1.72367e+03 2.15229e+04 3.07994e+03 8.10088e-01
3.94608e+02 1.72433e+03 2.13101e+04 3.08217e+03 8.06060e-01
3.95393e+02 1.72322e+03 2.19723e+04 3.22828e+03 7.99978e-01
3.96178e+02 1.72122e+03 2.26354e+04 3.36839e+03 7.94817e-01
3.96963e+02 1.72211e+03 2.38059e+04 3.58694e+03 7.90680e-01
3.97748e+02 1.72456e+03 2.52278e+04 3.84128e+03 7.90146e-01
3.98533e+02 1.72667e+03 2.64328e+04 4.06728e+03 7.83597e-01
3.99318e+02 1.72411e+03 2.59879e+04 4.02017e+03 7.81401e-01
4.00102e+02 1.72644e+03 2.45403e+04 3.83006e+03 7.75925e-01
4.00887e+02 1.72522e+03 2.37208e+04 3.73861e+03 7.71720e-01
4.01671e+02 1.72356e+03 2.34524e+04 3.72128e+03 7.67105e-01
4.02456e+02 1.72522e+03 2.28631e+04 3.65528e+03 7.64131e-01
4.03240e+02 1.72500e+03 2.26674e+04 3.65894e+03 7.56641e-01
4.04025e+02 1.72400e+03 2.26233e+04 3.67806e+03 7.56089e-01
4.04809e+02 1.72489e+03 2.27159e+04 3.74261e+03 7.51407e-01
4.05593e+02 1.72333e+03 2.26234e+04 3.74828e+03 7.47442e-01
4.06377e+02 1.72367e+03 2.16311e+04 3.59672e+03 7.44813e-01
4.07161e+02 1.72256e+03 2.02384e+04 3.38617e+03 7.39515e-01
4.07945e+02 1.72222e+03 1.98798e+04 3.35039e+03 7.36190e-01
4.08729e+02 1.72400e+03 2.02036e+04 3.42739e+03 7.35043e-01
4.09513e+02 1.72344e+03 2.02166e+04 3.45528e+03 7.30463e-01
4.10296e+02 1.72533e+03 1.97941e+04 3.39361e+03 7.27054e-01
4.11080e+02 1.72111e+03 1.92604e+04 3.31917e+03 7.25869e-01
4.11863e+02 1.72400e+03 1.93110e+04 3.35850e+03 7.21398e-01
4.12647e+02 1.72344e+03 1.99583e+04 3.48883e+03 7.21333e-01
4.13430e+02 1.72756e+03 2.08671e+04 3.68406e+03 7.16829e-01
4.14214e+02 1.72544e+03 2.13199e+04 3.77483e+03 7.16213e-01
4.14997e+02 1.72144e+03 2.14453e+04 3.80828e+03 7.14348e-01
4.15780e+02 1.72222e+03 2.17734e+04 3.88817e+03 7.15237e-01
4.16563e+02 1.72467e+03 2.21547e+04 3.99494e+03 7.09796e-01
4.17346e+02 1.72356e+03 2.23533e+04 4.03506e+03 7.10544e-01
4.18129e+02 1.72667e+03 2.25743e+04 4.10261e+03 7.06995e-01
4.18912e+02 1.72611e+03 2.29481e+04 4.21594e+03 7.03522e-01
4.19695e+02 1.72600e+03 2.37766e+04 4.41428e+03 6.98905e-01
4.20478e+02 1.72400e+03 2.48970e+04 4.66750e+03 6.94499e-01
4.21261e+02 1.72411e+03 2.65810e+04 4.99583e+03 6.97852e-01
4.22043e+02 1.72611e+03 2.77702e+04 5.21417e+03 6.99142e-01
4.22826e+02 1.72500e+03 2.66838e+04 5.03806e+03 6.96607e-01
4.23608e+02 1.72422e+03 2.54273e+04 4.81917e+03 6.92081e-01
4.24391e+02 1.72289e+03 2.48104e+04 4.71861e+03 6.91347e-01
4.25173e+02 1.72467e+03 2.44798e+04 4.68017e+03 6.89739e-01
4.25955e+02 1.72400e+03 2.36957e+04 4.55039e+03 6.86202e-01
4.26737e+02 1.72500e+03 2.27158e+04 4.37717e+03 6.81866e-01
4.27520e+02 1.72356e+03 2.28711e+04 4.43972e+03 6.78850e-01
4.28302e+02 1.72633e+03 2.32013e+04 4.53483e+03 6.77723e-01
4.29084e+02 1.72378e+03 2.36902e+04 4.64850e+03 6.75769e-01
4.29865e+02 1.72578e+03 2.48442e+04 4.85050e+03 6.79197e-01
4.30647e+02 1.72433e+03 2.43851e+04 4.73006e+03 6.81280e-01
4.31429e+02 1.72244e+03 2.13129e+04 4.09928e+03 6.79534e-01
4.32211e+02 1.72644e+03 1.77229e+04 3.42661e+03 6.71283e-01
4.32992e+02 1.72278e+03 1.58222e+04 3.06528e+03 6.65686e-01
4.33774e+02 1.72611e+03 1.48278e+04 2.86428e+03 6.63147e-01
4.34555e+02 1.72367e+03 1.35162e+04 2.57017e+03 6.67702e-01
4.35337e+02 1.73078e+03 1.10197e+04 2.04728e+03 6.62699e-01
4.36118e+02 1.72556e+03 9.56300e+03 1.73261e+03 6.58622e-01
4.36899e+02 1.72622e+03 8.39867e+03 1.48283e+03 6.58375e-01
4.37680e+02 1.72067e+03 7.30044e+03 1.24494e+03 6.56521e-01
4.38461e+02 1.72422e+03 6.57222e+03 1.10050e+03 6.49794e-01
4.39242e+02 1.72456e+03 6.19333e+03 1.01861e+03 6.50373e-01
4.40023e+02 1.72200e+03 6.00289e+03 9.89944e+02 6.41702e-01
4.40804e+02 1.72522e+03 6.17878e+03 1.03217e+03 6.39365e-01
4.41585e+02 1.72544e+03 6.64700e+03 1.13928e+03 6.36860e-01
4.42366e+02 1.72533e+03 6.96078e+03 1.20772e+03 6.42389e-01
4.43146e+02 1.72611e+03 7.11722e+03 1.25783e+03 6.36769e-01
4.43927e+02 1.72744e+03 7.27944e+03 1.29417e+03 6.35947e-01
4.44707e+02 1.72656e+03 7.08811e+03 1.24650e+03 6.37104e-01
4.45488e+02 1.72533e+03 6.74456e+03 1.18172e+03 6.33132e-01
4.46268e+02 1.72589e+03 6.32822e+03 1.09450e+03 6.31937e-01
4.47048e+02 1.72656e+03 5.99744e+03 1.02106e+03 6.30038e-01
4.47828e+02 1.72211e+03 5.67389e+03 9.44611e+02 6.26824e-01
4.48609e+02 1.72544e+03 5.45456e+03 9.05611e+02 6.23710e-01
4.49389e+02 1.72211e+03 5.33511e+03 8.79722e+02 6.18001e-01
4.50169e+02 1.72589e+03 5.19544e+03 8.62611e+02 6.13925e-01
4.50948e+02 1.72211e+03 5.05500e+03 8.26944e+02 6.20043e-01
4.51728e+02 1.72722e+03 4.95756e+03 8.10500e+02 6.14456e-01
4.52508e+02 1.72544e+03 4.87878e+03 7.91167e+02 6.09158e-01
4.53288e+02 1.72456e+03 4.78011e+03 7.63500e+02 6.21545e-01
4.54067e+02 1.72244e+03 4.70489e+03 7.55389e+02 6.08820e-01
4.54847e+02 1.72533e+03 4.67567e+03 7.50278e+02 6.02468e-01
4.55626e+02 1.72500e+03 4.67633e+03 7.62389e+02 5.99744e-01
4.56406e+02 1.72400e+03 4.72056e+03 7.68389e+02 5.97317e-01
4.57185e+02 1.72656e+03 4.79667e+03 7.87389e+02 6.00831e-01
4.57964e+02 1.72422e+03 4.88089e+03 8.05278e+02 6.06997e-01
4.58743e+02 1.72533e+03 4.96456e+03 8.35500e+02 5.92210e-01
4.59522e+02 1.72433e+03 5.01367e+03 8.52500e+02 5.93879e-01
4.60301e+02 1.72989e+03 5.03100e+03 8.60611e+02 5.96748e-01
4.61080e+02 1.72500e+03 4.98656e+03 8.51833e+02 5.90220e-01
4.61859e+02 1.72589e+03 4.90700e+03 8.32722e+02 5.90918e-01
4.62638e+02 1.72200e+03 4.81111e+03 8.10611e+02 5.86981e-01
4.63417e+02 1.72322e+03 4.72767e+03 7.92611e+02 5.87165e-01
4.64195e+02 1.72556e+03 4.68911e+03 7.86833e+02 5.83326e-01
4.64974e+02 1.72411e+03 4.62711e+03 7.72056e+02 5.86681e-01
4.65752e+02 1.72667e+03 4.57433e+03 7.56167e+02 5.87103e-01
4.66531e+02 1.72500e+03 4.51611e+03 7.44833e+02 5.82400e-01
4.67309e+02 1.72122e+03 4.46233e+03 7.26056e+02 5.80969e-01
4.68087e+02 1.72522e+03 4.42844e+03 7.29056e+02 5.78652e-01
4.68865e+02 1.72422e+03 4.39533e+03 7.21500e+02 5.78757e-01
4.69644e+02 1.72344e+03 4.35944e+03 7.12611e+02 5.76861e-01
4.70422e+02 1.72589e+03 4.33644e+03 7.18278e+02 5.71399e-01
4.71200e+02 1.72389e+03 4.32389e+03 7.15500e+02 5.67924e-01
4.71977e+02 1.72489e+03 4.31511e+03 7.15278e+02 5.73454e-01
