Wavelength Dark Reference Sample Absorbance
3.56051e+02 -4.02778e-01 1.22845e+04 9.41485e+03 1.15541e-01
3.56839e+02 4.16667e-02 1.24452e+04 9.57907e+03 1.13679e-01
3.57628e+02 -4.02778e-01 1.25953e+04 9.71618e+03 1.12709e-01
3.58416e+02 4.16667e-02 1.27250e+04 9.85607e+03 1.10954e-01
3.59205e+02 -1.80556e-01 1.27510e+04 9.92574e+03 1.08779e-01
3.59993e+02 -8.47222e-01 1.25880e+04 9.84629e+03 1.06675e-01
3.60781e+02 -4.02778e-01 1.23665e+04 9.70329e+03 1.05325e-01
3.61569e+02 1.52778e-01 1.21462e+04 9.58318e+03 1.02933e-01
3.62357e+02 -2.18056e+00 1.20910e+04 9.58974e+03 1.00635e-01
3.63145e+02 -1.73611e+00 1.22174e+04 9.71296e+03 9.96124e-02
3.63933e+02 -5.13889e-01 1.24519e+04 9.95174e+03 9.73314e-02
3.64721e+02 -9.58333e-01 1.27594e+04 1.02411e+04 9.54780e-02
3.65509e+02 -4.02778e-01 1.30055e+04 1.04798e+04 9.37703e-02
3.66297e+02 -4.02778e-01 1.31679e+04 1.06573e+04 9.18657e-02
3.67085e+02 -7.36111e-01 1.32088e+04 1.07415e+04 8.97911e-02
3.67872e+02 -6.94444e-02 1.30591e+04 1.06847e+04 8.71488e-02
3.68660e+02 -1.18056e+00 1.26819e+04 1.04317e+04 8.48182e-02
3.69447e+02 -7.36111e-01 1.23838e+04 1.02092e+04 8.38563e-02
3.70235e+02 3.75000e-01 1.20863e+04 1.00156e+04 8.16188e-02
3.71022e+02 1.52778e-01 1.19698e+04 9.96807e+03 7.94756e-02
3.71809e+02 -8.47222e-01 1.20558e+04 1.00391e+04 7.94951e-02
3.72596e+02 -1.62500e+00 1.21947e+04 1.01860e+04 7.81561e-02
3.73383e+02 -2.91667e-01 1.23728e+04 1.04118e+04 7.49370e-02
3.74170e+02 -1.84722e+00 1.25992e+04 1.06140e+04 7.44540e-02
3.74957e+02 5.97222e-01 1.27012e+04 1.07765e+04 7.13704e-02
