Wavelength Dark Reference Sample Absorbance
3.18907e+02 -6.52778e-01 2.28241e+04 7.65572e+03 4.74383e-01
3.19698e+02 -1.54167e+00 2.21539e+04 7.47072e+03 4.72028e-01
3.20490e+02 -1.31944e+00 2.15594e+04 7.31317e+03 4.69480e-01
3.21282e+02 -3.19444e-01 2.10439e+04 7.18083e+03 4.66938e-01
3.22074e+02 -5.41667e-01 2.06930e+04 7.11817e+03 4.63433e-01
3.22865e+02 1.38889e-02 2.04687e+04 7.09128e+03 4.60365e-01
3.23657e+02 1.23611e+00 2.03505e+04 7.09050e+03 4.57948e-01
3.24448e+02 2.36111e-01 2.04330e+04 7.14594e+03 4.56282e-01
3.25240e+02 1.38889e-02 2.05972e+04 7.17994e+03 4.57688e-01
3.26031e+02 -8.75000e-01 2.06930e+04 7.22194e+03 4.57135e-01
3.26823e+02 -6.52778e-01 2.07014e+04 7.19806e+03 4.58759e-01
3.27614e+02 -1.20833e+00 2.05808e+04 7.11183e+03 4.61432e-01
3.28405e+02 -3.19444e-01 2.05047e+04 7.03861e+03 4.64353e-01
3.29196e+02 -3.19444e-01 2.05700e+04 6.95506e+03 4.70920e-01
3.29987e+02 -7.63889e-01 2.07365e+04 6.95228e+03 4.74577e-01
3.30778e+02 -5.41667e-01 2.11517e+04 6.99439e+03 4.80572e-01
3.31569e+02 4.58333e-01 2.16635e+04 7.03017e+03 4.88783e-01
3.32360e+02 -9.86111e-01 2.19644e+04 7.02028e+03 4.95324e-01
3.33150e+02 -7.63889e-01 2.20622e+04 6.92383e+03 5.03270e-01
3.33941e+02 -9.72222e-02 2.20098e+04 6.81339e+03 5.09248e-01
3.34731e+02 -7.63889e-01 2.18483e+04 6.64417e+03 5.16943e-01
3.35522e+02 -5.41667e-01 2.17867e+04 6.49639e+03 5.25493e-01
3.36312e+02 1.01389e+00 2.19327e+04 6.44350e+03 5.32018e-01
3.37103e+02 -6.52778e-01 2.22780e+04 6.41272e+03 5.40802e-01
3.37893e+02 -5.41667e-01 2.25469e+04 6.37672e+03 5.48462e-01
3.38683e+02 -8.75000e-01 2.26145e+04 6.31094e+03 5.54250e-01
3.39473e+02 -9.72222e-02 2.24439e+04 6.17850e+03 5.60210e-01
3.40264e+02 -9.72222e-02 2.22050e+04 6.02950e+03 5.66164e-01
3.41054e+02 -1.43056e+00 2.19730e+04 5.88906e+03 5.71766e-01
3.41844e+02 -9.86111e-01 2.14948e+04 5.73650e+03 5.73631e-01
3.42633e+02 -9.72222e-02 2.09577e+04 5.52706e+03 5.78843e-01
3.43423e+02 3.47222e-01 2.04343e+04 5.37250e+03 5.80204e-01
3.44213e+02 -9.72222e-02 1.99084e+04 5.19183e+03 5.83710e-01
