Wavelength Dark Reference Sample Absorbance
2.97499e+02 1.72644e+03 1.39666e+04 6.16319e+03 3.00004e-01
2.98293e+02 1.72244e+03 1.36796e+04 6.06508e+03 2.96273e-01
2.99086e+02 1.72533e+03 1.32951e+04 5.96053e+03 2.88856e-01
2.99880e+02 1.72367e+03 1.28577e+04 5.80975e+03 2.85379e-01
3.00673e+02 1.72444e+03 1.23544e+04 5.61175e+03 2.82077e-01
3.01467e+02 1.72533e+03 1.18560e+04 5.39831e+03 2.74306e-01
3.02260e+02 1.72078e+03 1.13473e+04 5.21797e+03 2.66750e-01
3.03054e+02 1.72356e+03 1.09668e+04 5.03331e+03 2.66209e-01
3.03847e+02 1.72589e+03 1.07618e+04 4.97419e+03 2.63366e-01
3.04640e+02 1.72544e+03 1.08068e+04 5.06064e+03 2.55116e-01
3.05433e+02 1.72333e+03 1.11038e+04 5.29453e+03 2.52140e-01
3.06227e+02 1.73311e+03 1.15031e+04 5.62186e+03 2.42760e-01
3.07020e+02 1.72333e+03 1.18456e+04 5.84775e+03 2.37217e-01
3.07813e+02 1.72544e+03 1.19131e+04 5.95731e+03 2.37087e-01
3.08605e+02 1.72156e+03 1.16959e+04 5.88986e+03 2.30173e-01
3.09398e+02 1.72356e+03 1.11686e+04 5.62486e+03 2.25109e-01
3.10191e+02 1.72267e+03 1.05918e+04 5.33542e+03 2.20697e-01
3.10984e+02 1.72422e+03 1.04592e+04 5.29064e+03 2.15854e-01
3.11776e+02 1.72089e+03 1.09400e+04 5.62719e+03 2.15406e-01
3.12569e+02 1.72333e+03 1.16850e+04 6.15442e+03 2.10495e-01
3.13361e+02 1.72433e+03 1.22544e+04 6.55664e+03 2.05386e-01
3.14154e+02 1.72267e+03 1.25904e+04 6.78108e+03 2.02144e-01
3.14946e+02 1.72333e+03 1.26691e+04 6.91386e+03 2.00333e-01
3.15738e+02 1.72256e+03 1.26609e+04 6.92842e+03 1.98088e-01
3.16530e+02 1.72467e+03 1.25274e+04 6.88531e+03 1.94199e-01
3.17323e+02 1.72489e+03 1.22873e+04 6.80786e+03 1.91928e-01
3.18115e+02 1.72389e+03 1.20167e+04 6.67331e+03 1.87640e-01
3.18907e+02 1.72189e+03 1.17088e+04 6.55953e+03 1.83931e-01
3.19698e+02 1.72389e+03 1.14229e+04 6.39519e+03 1.80552e-01
3.20490e+02 1.72322e+03 1.11480e+04 6.25008e+03 1.80433e-01
3.21282e+02 1.72244e+03 1.09220e+04 6.13153e+03 1.73640e-01
3.22074e+02 1.72356e+03 1.07289e+04 6.05875e+03 1.73207e-01
3.22865e+02 1.72344e+03 1.05951e+04 6.01975e+03 1.69110e-01
3.23657e+02 1.72444e+03 1.06071e+04 6.04142e+03 1.69427e-01
