x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
2.38569560e+02 5.82987222e-01 2.38569560e+02 9.53141578e-01 2.38569560e+02 1.07446133e+00 2.38569560e+02 1.31651834e+00 2.38569560e+02 1.92199838e+00 2.38569560e+02 1.94168863e+00
2.39368367e+02 6.02042380e-01 2.39368367e+02 9.88819783e-01 2.39368367e+02 1.12112150e+00 2.39368367e+02 1.36304297e+00 2.39368367e+02 1.95629280e+00 2.39368367e+02 1.92563904e+00
2.40167107e+02 6.24157839e-01 2.40167107e+02 1.02584700e+00 2.40167107e+02 1.16752531e+00 2.40167107e+02 1.40306834e+00 2.40167107e+02 1.97861772e+00 2.40167107e+02 1.90900824e+00
2.40965780e+02 6.45875490e-01 2.40965780e+02 1.06238064e+00 2.40965780e+02 1.21284741e+00 2.40965780e+02 1.44291251e+00 2.40965780e+02 1.99728296e+00 2.40965780e+02 1.89554384e+00
2.41764387e+02 6.68028775e-01 2.41764387e+02 1.10027639e+00 2.41764387e+02 1.25872203e+00 2.41764387e+02 1.47730275e+00 2.41764387e+02 2.02020467e+00 2.41764387e+02 1.89170864e+00
2.42562926e+02 6.90707282e-01 2.42562926e+02 1.13938335e+00 2.42562926e+02 1.30289147e+00 2.42562926e+02 1.51071854e+00 2.42562926e+02 2.03656440e+00 2.42562926e+02 1.89409051e+00
2.43361398e+02 7.14136205e-01 2.43361398e+02 1.17705731e+00 2.43361398e+02 1.34253570e+00 2.43361398e+02 1.53807083e+00 2.43361398e+02 2.04903289e+00 2.43361398e+02 1.89337449e+00
2.44159804e+02 7.35747834e-01 2.44159804e+02 1.21131767e+00 2.44159804e+02 1.37658076e+00 2.44159804e+02 1.55678458e+00 2.44159804e+02 2.05526095e+00 2.44159804e+02 1.89827196e+00
2.44958142e+02 7.54584634e-01 2.44958142e+02 1.24010690e+00 2.44958142e+02 1.39850428e+00 2.44958142e+02 1.56226906e+00 2.44958142e+02 2.04483832e+00 2.44958142e+02 1.88778212e+00
2.45756413e+02 7.71556469e-01 2.45756413e+02 1.26108957e+00 2.45756413e+02 1.40648746e+00 2.45756413e+02 1.55404718e+00 2.45756413e+02 2.02754999e+00 2.45756413e+02 1.87575713e+00
2.46554617e+02 7.83281947e-01 2.46554617e+02 1.27213549e+00 2.46554617e+02 1.40029429e+00 2.46554617e+02 1.53016252e+00 2.46554617e+02 1.99382196e+00 2.46554617e+02 1.85087816e+00
2.47352754e+02 7.89992973e-01 2.47352754e+02 1.27287436e+00 2.47352754e+02 1.37804957e+00 2.47352754e+02 1.49202755e+00 2.47352754e+02 1.94847813e+00 2.47352754e+02 1.81838473e+00
2.48150823e+02 7.92146914e-01 2.48150823e+02 1.26324890e+00 2.48150823e+02 1.34472169e+00 2.48150823e+02 1.44486039e+00 2.48150823e+02 1.89491191e+00 2.48150823e+02 1.77731097e+00
2.48948825e+02 7.87880785e-01 2.48948825e+02 1.24392790e+00 2.48948825e+02 1.30125835e+00 2.48948825e+02 1.39251425e+00 2.48948825e+02 1.84011611e+00 2.48948825e+02 1.73517742e+00
2.49746760e+02 7.79703308e-01 2.49746760e+02 1.21936098e+00 2.49746760e+02 1.25492400e+00 2.49746760e+02 1.33962035e+00 2.49746760e+02 1.78381560e+00 2.49746760e+02 1.69452384e+00
2.50544628e+02 7.65702960e-01 2.50544628e+02 1.18850442e+00 2.50544628e+02 1.20914361e+00 2.50544628e+02 1.28599148e+00 2.50544628e+02 1.72986344e+00 2.50544628e+02 1.65802796e+00
2.51342429e+02 7.53340669e-01 2.51342429e+02 1.16205704e+00 2.51342429e+02 1.18276211e+00 2.51342429e+02 1.25905396e+00 2.51342429e+02 1.70461487e+00 2.51342429e+02 1.65327475e+00
2.52140162e+02 7.50516438e-01 2.52140162e+02 1.17352148e+00 2.52140162e+02 1.21500812e+00 2.52140162e+02 1.30388165e+00 2.52140162e+02 1.75358530e+00 2.52140162e+02 1.72446881e+00
2.52937828e+02 7.50975958e-01 2.52937828e+02 1.19307770e+00 2.52937828e+02 1.27312087e+00 2.52937828e+02 1.38110253e+00 2.52937828e+02 1.84288949e+00 2.52937828e+02 1.83929397e+00
