x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
2.51342429e+02 2.83500000e+00 2.51342429e+02 2.96500000e+00 2.51342429e+02 3.26000000e+00 2.51342429e+02 5.82500000e+00 2.51342429e+02 4.85000000e+00 2.51342429e+02 2.91000000e+00
2.52140162e+02 3.64500000e+00 2.52140162e+02 3.08500000e+00 2.52140162e+02 5.10000000e+00 2.52140162e+02 4.90500000e+00 2.52140162e+02 5.49000000e+00 2.52140162e+02 2.59000000e+00
2.52937828e+02 1.54500000e+00 2.52937828e+02 1.80500000e+00 2.52937828e+02 3.02000000e+00 2.52937828e+02 2.58500000e+00 2.52937828e+02 3.37000000e+00 2.52937828e+02 1.08000000e+00
2.53735426e+02 9.55000000e-01 2.53735426e+02 1.19500000e+00 2.53735426e+02 6.80000000e-01 2.53735426e+02 2.18500000e+00 2.53735426e+02 1.73000000e+00 2.53735426e+02 1.88000000e+00
2.54532957e+02 1.28500000e+00 2.54532957e+02 1.40500000e+00 2.54532957e+02 3.06000000e+00 2.54532957e+02 3.66500000e+00 2.54532957e+02 3.73000000e+00 2.54532957e+02 8.00000000e-01
2.55330420e+02 3.44500000e+00 2.55330420e+02 3.48500000e+00 2.55330420e+02 3.98000000e+00 2.55330420e+02 5.22500000e+00 2.55330420e+02 4.93000000e+00 2.55330420e+02 1.27000000e+00
2.56127816e+02 2.40500000e+00 2.56127816e+02 3.36500000e+00 2.56127816e+02 3.78000000e+00 2.56127816e+02 5.22500000e+00 2.56127816e+02 5.97000000e+00 2.56127816e+02 8.80000000e-01
2.56925145e+02 1.92500000e+00 2.56925145e+02 2.24500000e+00 2.56925145e+02 3.66000000e+00 2.56925145e+02 4.58500000e+00 2.56925145e+02 4.05000000e+00 2.56925145e+02 8.70000000e-01
2.57722406e+02 4.84500000e+00 2.57722406e+02 4.80500000e+00 2.57722406e+02 6.50000000e+00 2.57722406e+02 6.74500000e+00 2.57722406e+02 6.73000000e+00 2.57722406e+02 2.91000000e+00
2.58519599e+02 2.96500000e+00 2.58519599e+02 3.40500000e+00 2.58519599e+02 3.98000000e+00 2.58519599e+02 4.82500000e+00 2.58519599e+02 5.17000000e+00 2.58519599e+02 8.90000000e-01
2.59316725e+02 3.08500000e+00 2.59316725e+02 5.04500000e+00 2.59316725e+02 4.14000000e+00 2.59316725e+02 5.30500000e+00 2.59316725e+02 5.61000000e+00 2.59316725e+02 9.50000000e-01
2.60113784e+02 4.28500000e+00 2.60113784e+02 4.92500000e+00 2.60113784e+02 5.38000000e+00 2.60113784e+02 6.30500000e+00 2.60113784e+02 6.61000000e+00 2.60113784e+02 2.23000000e+00
2.60910774e+02 3.56500000e+00 2.60910774e+02 4.96500000e+00 2.60910774e+02 6.10000000e+00 2.60910774e+02 6.82500000e+00 2.60910774e+02 4.29000000e+00 2.60910774e+02 2.11000000e+00
2.61707697e+02 1.60500000e+00 2.61707697e+02 3.36500000e+00 2.61707697e+02 5.26000000e+00 2.61707697e+02 5.62500000e+00 2.61707697e+02 5.77000000e+00 2.61707697e+02 1.87000000e+00
2.62504553e+02 4.04500000e+00 2.62504553e+02 3.64500000e+00 2.62504553e+02 4.90000000e+00 2.62504553e+02 6.02500000e+00 2.62504553e+02 6.37000000e+00 2.62504553e+02 2.51000000e+00
2.63301340e+02 1.44500000e+00 2.63301340e+02 3.72500000e+00 2.63301340e+02 4.94000000e+00 2.63301340e+02 4.30500000e+00 2.63301340e+02 4.13000000e+00 2.63301340e+02 1.75000000e+00
2.64098060e+02 3.08500000e+00 2.64098060e+02 2.76500000e+00 2.64098060e+02 3.98000000e+00 2.64098060e+02 4.86500000e+00 2.64098060e+02 4.73000000e+00 2.64098060e+02 1.96000000e+00
