x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
2.49747e+02 7.79703e-01 2.49747e+02 1.21936e+00 2.49747e+02 1.25492e+00 2.49747e+02 1.33962e+00 2.49747e+02 1.78382e+00 2.49747e+02 1.69452e+00
2.50545e+02 7.65703e-01 2.50545e+02 1.18850e+00 2.50545e+02 1.20914e+00 2.50545e+02 1.28599e+00 2.50545e+02 1.72986e+00 2.50545e+02 1.65803e+00
2.51342e+02 7.53341e-01 2.51342e+02 1.16206e+00 2.51342e+02 1.18276e+00 2.51342e+02 1.25905e+00 2.51342e+02 1.70461e+00 2.51342e+02 1.65327e+00
2.52140e+02 7.50516e-01 2.52140e+02 1.17352e+00 2.52140e+02 1.21501e+00 2.52140e+02 1.30388e+00 2.52140e+02 1.75359e+00 2.52140e+02 1.72447e+00
2.52938e+02 7.50976e-01 2.52938e+02 1.19308e+00 2.52938e+02 1.27312e+00 2.52938e+02 1.38110e+00 2.52938e+02 1.84289e+00 2.52938e+02 1.83929e+00
2.53735e+02 7.38582e-01 2.53735e+02 1.18726e+00 2.53735e+02 1.29716e+00 2.53735e+02 1.43167e+00 2.53735e+02 1.90615e+00 2.53735e+02 1.93328e+00
2.54533e+02 7.12206e-01 2.54533e+02 1.15330e+00 2.54533e+02 1.27899e+00 2.54533e+02 1.43866e+00 2.54533e+02 1.92669e+00 2.54533e+02 1.99270e+00
2.55330e+02 6.77359e-01 2.55330e+02 1.09858e+00 2.55330e+02 1.23142e+00 2.55330e+02 1.41398e+00 2.55330e+02 1.91908e+00 2.55330e+02 2.03816e+00
2.56128e+02 6.35775e-01 2.56128e+02 1.02960e+00 2.56128e+02 1.15543e+00 2.56128e+02 1.35527e+00 2.56128e+02 1.88205e+00 2.56128e+02 2.07608e+00
2.56925e+02 5.89032e-01 2.56925e+02 9.50180e-01 2.56925e+02 1.05534e+00 2.56925e+02 1.26490e+00 2.56925e+02 1.81061e+00 2.56925e+02 2.10488e+00
2.57722e+02 5.40759e-01 2.57722e+02 8.65033e-01 2.57722e+02 9.41382e-01 2.57722e+02 1.14583e+00 2.57722e+02 1.70327e+00 2.57722e+02 2.11827e+00
2.58520e+02 4.94238e-01 2.58520e+02 7.80640e-01 2.58520e+02 8.21945e-01 2.58520e+02 1.00947e+00 2.58520e+02 1.56384e+00 2.58520e+02 2.12974e+00
2.59317e+02 4.49851e-01 2.59317e+02 7.02027e-01 2.59317e+02 7.03359e-01 2.59317e+02 8.67777e-01 2.59317e+02 1.41111e+00 2.59317e+02 2.13500e+00
2.60114e+02 4.10493e-01 2.60114e+02 6.29900e-01 2.60114e+02 5.93887e-01 2.60114e+02 7.31548e-01 2.60114e+02 1.25842e+00 2.60114e+02 2.14005e+00
2.60911e+02 3.76103e-01 2.60911e+02 5.67115e-01 2.60911e+02 4.98121e-01 2.60911e+02 6.09591e-01 2.60911e+02 1.11710e+00 2.60911e+02 2.14460e+00
2.61708e+02 3.48222e-01 2.61708e+02 5.15728e-01 2.61708e+02 4.17869e-01 2.61708e+02 5.06081e-01 2.61708e+02 9.96062e-01 2.61708e+02 2.13980e+00
2.62505e+02 3.27178e-01 2.62505e+02 4.74790e-01 2.62505e+02 3.54048e-01 2.62505e+02 4.23000e-01 2.62505e+02 8.97840e-01 2.62505e+02 2.09507e+00
2.63301e+02 3.09959e-01 2.63301e+02 4.43511e-01 2.63301e+02 3.04236e-01 2.63301e+02 3.58305e-01 2.63301e+02 8.20610e-01 2.63301e+02 1.95217e+00
2.64098e+02 2.97003e-01 2.64098e+02 4.19915e-01 2.64098e+02 2.66780e-01 2.64098e+02 3.09591e-01 2.64098e+02 7.61612e-01 2.64098e+02 1.70196e+00
2.64895e+02 2.88153e-01 2.64895e+02 4.02747e-01 2.64895e+02 2.40615e-01 2.64895e+02 2.74392e-01 2.64895e+02 7.19294e-01 2.64895e+02 1.42356e+00
2.65691e+02 2.82245e-01 2.65691e+02 3.92057e-01 2.65691e+02 2.22412e-01 2.65691e+02 2.50732e-01 2.65691e+02 6.89711e-01 2.65691e+02 1.18447e+00
2.66488e+02 2.78202e-01 2.66488e+02 3.83532e-01 2.66488e+02 2.10005e-01 2.66488e+02 2.34155e-01 2.66488e+02 6.69002e-01 2.66488e+02 1.00294e+00
2.67284e+02 2.75146e-01 2.67284e+02 3.78151e-01 2.67284e+02 2.02096e-01 2.67284e+02 2.22640e-01 2.67284e+02 6.55283e-01 2.67284e+02 8.78347e-01
2.68081e+02 2.72375e-01 2.68081e+02 3.74202e-01 2.68081e+02 1.96243e-01 2.68081e+02 2.15679e-01 2.68081e+02 6.46183e-01 2.68081e+02 7.97188e-01
2.68877e+02 2.72634e-01 2.68877e+02 3.73646e-01 2.68877e+02 1.95232e-01 2.68877e+02 2.13568e-01 2.68877e+02 6.43397e-01 2.68877e+02 7.51066e-01
2.69673e+02 2.72507e-01 2.69673e+02 3.73275e-01 2.69673e+02 1.94437e-01 2.69673e+02 2.12157e-01 2.69673e+02 6.40523e-01 2.69673e+02 7.29234e-01
2.70469e+02 2.71512e-01 2.70469e+02 3.72832e-01 2.70469e+02 1.93882e-01 2.70469e+02 2.11619e-01 2.70469e+02 6.40347e-01 2.70469e+02 7.23093e-01
2.71265e+02 2.72107e-01 2.71265e+02 3.74036e-01 2.71265e+02 1.95038e-01 2.71265e+02 2.12761e-01 2.71265e+02 6.41469e-01 2.71265e+02 7.28754e-01
2.72062e+02 2.72894e-01 2.72062e+02 3.75053e-01 2.72062e+02 1.97399e-01 2.72062e+02 2.14918e-01 2.72062e+02 6.43380e-01 2.72062e+02 7.44299e-01
2.72857e+02 2.73135e-01 2.72857e+02 3.76606e-01 2.72857e+02 1.99556e-01 2.72857e+02 2.17501e-01 2.72857e+02 6.46074e-01 2.72857e+02 7.64836e-01
2.73653e+02 2.74559e-01 2.73653e+02 3.79478e-01 2.73653e+02 2.03048e-01 2.73653e+02 2.21703e-01 2.73653e+02 6.49910e-01 2.73653e+02 7.90366e-01
