x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
2.48948825e+02 5.54341952e-01 2.48948825e+02 9.17719782e-01 2.48948825e+02 1.17326648e+00 2.48948825e+02 1.25424818e+00 2.48948825e+02 1.31728751e+00 2.48948825e+02 1.73191312e+00
2.49746760e+02 5.46181012e-01 2.49746760e+02 8.93164996e-01 2.49746760e+02 1.12694701e+00 2.49746760e+02 1.20141243e+00 2.49746760e+02 1.26105042e+00 2.49746760e+02 1.69125273e+00
2.50544628e+02 5.32197199e-01 2.50544628e+02 8.62320561e-01 2.50544628e+02 1.08118149e+00 2.50544628e+02 1.14784169e+00 2.50544628e+02 1.20716168e+00 2.50544628e+02 1.65475006e+00
2.51342429e+02 5.19851442e-01 2.51342429e+02 8.35885317e-01 2.51342429e+02 1.05481487e+00 2.51342429e+02 1.12096232e+00 2.51342429e+02 1.18197652e+00 2.51342429e+02 1.64999005e+00
2.52140162e+02 5.17043743e-01 2.52140162e+02 8.47361887e-01 2.52140162e+02 1.08707575e+00 2.52140162e+02 1.16584813e+00 2.52140162e+02 1.23101036e+00 2.52140162e+02 1.72117731e+00
2.52937828e+02 5.17519795e-01 2.52937828e+02 8.66930236e-01 2.52937828e+02 1.14520339e+00 2.52937828e+02 1.24312714e+00 2.52937828e+02 1.32037795e+00 2.52937828e+02 1.83599568e+00
2.53735426e+02 5.05142606e-01 2.53735426e+02 8.61123814e-01 2.53735426e+02 1.16925805e+00 2.53735426e+02 1.29374842e+00 2.53735426e+02 1.38369766e+00 2.53735426e+02 1.92997736e+00
2.54532957e+02 4.78782790e-01 2.54532957e+02 8.27174975e-01 2.54532957e+02 1.15110296e+00 2.54532957e+02 1.30079925e+00 2.54532957e+02 1.40430710e+00 2.54532957e+02 1.98938761e+00
2.55330420e+02 4.43952810e-01 2.55330420e+02 7.72469637e-01 2.55330420e+02 1.10354327e+00 2.55330420e+02 1.27617639e+00 2.55330420e+02 1.39675857e+00 2.55330420e+02 2.03483876e+00
2.56127816e+02 4.02385366e-01 2.56127816e+02 7.03496587e-01 2.56127816e+02 1.02757147e+00 2.56127816e+02 1.21752347e+00 2.56127816e+02 1.35979358e+00 2.56127816e+02 2.07275868e+00
